Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,369",+/-49,(X),(X),704,+/-24,(X),(X),665,+/-44,(X),(X)
Less than high school graduate,287,+/-101,21.0%,+/-7.5,137,+/-71,19.5%,+/-10.0,150,+/-68,22.6%,+/-10.4
High school graduate (includes equivalency),627,+/-141,45.8%,+/-9.7,299,+/-96,42.5%,+/-13.6,328,+/-89,49.3%,+/-12.1
Some college or associate's degree,412,+/-103,30.1%,+/-7.6,238,+/-84,33.8%,+/-11.8,174,+/-62,26.2%,+/-9.6
Bachelor's degree or higher,43,+/-37,3.1%,+/-2.7,30,+/-33,4.3%,+/-4.8,13,+/-16,2.0%,+/-2.5
Population 25 years and over,"11,605",+/-60,(X),(X),"5,659",+/-59,(X),(X),"5,946",+/-45,(X),(X)
Less than 9th grade,596,+/-202,5.1%,+/-1.7,303,+/-119,5.4%,+/-2.1,293,+/-111,4.9%,+/-1.9
"9th to 12th grade, no diploma","1,191",+/-208,10.3%,+/-1.8,643,+/-148,11.4%,+/-2.6,548,+/-129,9.2%,+/-2.2
High school graduate (includes equivalency),"5,558",+/-316,47.9%,+/-2.7,"2,814",+/-207,49.7%,+/-3.7,"2,744",+/-235,46.1%,+/-4.0
"Some college, no degree","2,005",+/-199,17.3%,+/-1.7,974,+/-140,17.2%,+/-2.5,"1,031",+/-136,17.3%,+/-2.3
Associate's degree,627,+/-146,5.4%,+/-1.3,213,+/-83,3.8%,+/-1.5,414,+/-110,7.0%,+/-1.8
Bachelor's degree,"1,050",+/-173,9.0%,+/-1.5,470,+/-117,8.3%,+/-2.1,580,+/-116,9.8%,+/-1.9
Graduate or professional degree,578,+/-127,5.0%,+/-1.1,242,+/-78,4.3%,+/-1.4,336,+/-79,5.7%,+/-1.3
Percent high school graduate or higher,(X),(X),84.6%,+/-2.6,(X),(X),83.3%,+/-3.3,(X),(X),85.9%,+/-2.8
Percent bachelor's degree or higher,(X),(X),14.0%,+/-2.0,(X),(X),12.6%,+/-2.6,(X),(X),15.4%,+/-2.3
Population 25 to 34 years,"1,818",+/-58,(X),(X),925,+/-59,(X),(X),893,+/-22,(X),(X)
High school graduate or higher,"1,495",+/-164,82.2%,+/-9.0,741,+/-94,80.1%,+/-11.0,754,+/-98,84.4%,+/-10.1
Bachelor's degree or higher,363,+/-111,20.0%,+/-6.2,150,+/-72,16.2%,+/-7.9,213,+/-68,23.9%,+/-7.6
Population 35 to 44 years,"2,011",+/-45,(X),(X),"1,029",+/-39,(X),(X),982,+/-36,(X),(X)
High school graduate or higher,"1,681",+/-93,83.6%,+/-4.4,832,+/-65,80.9%,+/-6.3,849,+/-76,86.5%,+/-6.5
Bachelor's degree or higher,270,+/-99,13.4%,+/-4.8,64,+/-33,6.2%,+/-3.3,206,+/-86,21.0%,+/-8.3
Population 45 to 64 years,"4,838",+/-44,(X),(X),"2,433",+/-43,(X),(X),"2,405",+/-34,(X),(X)
High school graduate or higher,"4,237",+/-159,87.6%,+/-3.2,"2,099",+/-111,86.3%,+/-4.3,"2,138",+/-110,88.9%,+/-4.3
Bachelor's degree or higher,620,+/-138,12.8%,+/-2.8,355,+/-91,14.6%,+/-3.6,265,+/-77,11.0%,+/-3.2
Population 65 years and over,"2,938",+/-49,(X),(X),"1,272",+/-19,(X),(X),"1,666",+/-45,(X),(X)
High school graduate or higher,"2,405",+/-130,81.9%,+/-3.9,"1,041",+/-77,81.8%,+/-5.7,"1,364",+/-87,81.9%,+/-4.5
Bachelor's degree or higher,375,+/-94,12.8%,+/-3.2,143,+/-56,11.2%,+/-4.4,232,+/-64,13.9%,+/-3.8
