RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"16,016",+/-40,(X),(X),"7,746",+/-34,(X),(X),"8,270",+/-28,(X),(X)
High school graduate or higher,"13,592",+/-333,84.9%,+/-2.0,"6,514",+/-179,84.1%,+/-2.3,"7,078",+/-220,85.6%,+/-2.7
Bachelor's degree or higher,"2,108",+/-340,13.2%,+/-2.1,905,+/-216,11.7%,+/-2.8,"1,203",+/-227,14.5%,+/-2.7
"White alone, not Hispanic or Latino","15,892",+/-21,(X),(X),"7,708",+/-21,(X),(X),"8,184",+/-21,(X),(X)
High school graduate or higher,"13,513",+/-324,85.0%,+/-2.0,"6,495",+/-174,84.3%,+/-2.3,"7,018",+/-218,85.8%,+/-2.7
Bachelor's degree or higher,"2,108",+/-340,13.3%,+/-2.1,905,+/-216,11.7%,+/-2.8,"1,203",+/-227,14.7%,+/-2.8
Black alone,31,+/-35,(X),(X),28,+/-35,(X),(X),3,+/-6,(X),(X)
High school graduate or higher,26,+/-35,83.9%,+/-42.1,23,+/-34,82.1%,+/-45.5,3,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-51.2,0,+/-21,0.0%,+/-53.8,0,+/-21,0.0%,+/-100.0
American Indian or Alaska Native alone,24,+/-35,(X),(X),0,+/-21,(X),(X),24,+/-35,(X),(X)
High school graduate or higher,24,+/-35,100.0%,+/-58.2,0,+/-21,-,**,24,+/-35,100.0%,+/-58.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-58.2,0,+/-21,-,**,0,+/-21,0.0%,+/-58.2
Asian alone,94,+/-80,(X),(X),0,+/-21,(X),(X),94,+/-80,(X),(X)
High school graduate or higher,33,+/-45,35.1%,+/-52.9,0,+/-21,-,**,33,+/-45,35.1%,+/-52.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-26.8,0,+/-21,-,**,0,+/-21,0.0%,+/-26.8
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,51,+/-37,(X),(X),40,+/-36,(X),(X),11,+/-18,(X),(X)
High school graduate or higher,40,+/-32,78.4%,+/-24.2,33,+/-31,82.5%,+/-31.5,7,+/-11,63.6%,+/-18.4
Bachelor's degree or higher,0,+/-21,0.0%,+/-39.9,0,+/-21,0.0%,+/-45.1,0,+/-21,0.0%,+/-85.9
Two or more races,99,+/-70,(X),(X),48,+/-62,(X),(X),51,+/-44,(X),(X)
High school graduate or higher,89,+/-68,89.9%,+/-16.5,48,+/-62,100.0%,+/-41.1,41,+/-41,80.4%,+/-31.7
Bachelor's degree or higher,11,+/-18,11.1%,+/-18.6,0,+/-21,0.0%,+/-41.1,11,+/-18,21.6%,+/-32.6
Hispanic or Latino Origin,185,+/-30,(X),(X),78,+/-35,(X),(X),107,+/-27,(X),(X)
High school graduate or higher,119,+/-41,64.3%,+/-22.7,52,+/-33,66.7%,+/-32.0,67,+/-35,62.6%,+/-28.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-14.9,0,+/-21,0.0%,+/-30.9,0,+/-21,0.0%,+/-24.1
