Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,978",+/-91,(X),(X),"1,044",+/-86,(X),(X),934,+/-44,(X),(X)
Less than high school graduate,427,+/-113,21.6%,+/-5.8,312,+/-93,29.9%,+/-9.5,115,+/-65,12.3%,+/-6.7
High school graduate (includes equivalency),952,+/-153,48.1%,+/-7.5,507,+/-123,48.6%,+/-9.7,445,+/-99,47.6%,+/-11.6
Some college or associate's degree,588,+/-140,29.7%,+/-6.7,225,+/-91,21.6%,+/-8.7,363,+/-109,38.9%,+/-11.1
Bachelor's degree or higher,11,+/-19,0.6%,+/-1.0,0,+/-21,0.0%,+/-2.8,11,+/-19,1.2%,+/-2.0
Population 25 years and over,"16,245",+/-117,(X),(X),"7,829",+/-78,(X),(X),"8,416",+/-85,(X),(X)
Less than 9th grade,"1,020",+/-246,6.3%,+/-1.5,463,+/-131,5.9%,+/-1.7,557,+/-175,6.6%,+/-2.1
"9th to 12th grade, no diploma","1,433",+/-261,8.8%,+/-1.6,794,+/-196,10.1%,+/-2.5,639,+/-159,7.6%,+/-1.9
High school graduate (includes equivalency),"6,830",+/-357,42.0%,+/-2.1,"3,516",+/-316,44.9%,+/-4.0,"3,314",+/-286,39.4%,+/-3.5
"Some college, no degree","3,394",+/-361,20.9%,+/-2.3,"1,535",+/-239,19.6%,+/-3.1,"1,859",+/-285,22.1%,+/-3.4
Associate's degree,"1,468",+/-278,9.0%,+/-1.7,572,+/-171,7.3%,+/-2.2,896,+/-200,10.6%,+/-2.4
Bachelor's degree,"1,279",+/-251,7.9%,+/-1.5,606,+/-175,7.7%,+/-2.2,673,+/-157,8.0%,+/-1.8
Graduate or professional degree,821,+/-152,5.1%,+/-0.9,343,+/-96,4.4%,+/-1.2,478,+/-114,5.7%,+/-1.4
Percent high school graduate or higher,(X),(X),84.9%,+/-2.1,(X),(X),83.9%,+/-2.9,(X),(X),85.8%,+/-2.5
Percent bachelor's degree or higher,(X),(X),12.9%,+/-1.8,(X),(X),12.1%,+/-2.7,(X),(X),13.7%,+/-2.0
Population 25 to 34 years,"2,733",+/-54,(X),(X),"1,332",+/-14,(X),(X),"1,401",+/-51,(X),(X)
High school graduate or higher,"2,308",+/-190,84.4%,+/-6.8,"1,101",+/-132,82.7%,+/-9.9,"1,207",+/-119,86.2%,+/-7.7
Bachelor's degree or higher,426,+/-134,15.6%,+/-4.9,154,+/-84,11.6%,+/-6.3,272,+/-95,19.4%,+/-6.8
Population 35 to 44 years,"3,006",+/-88,(X),(X),"1,484",+/-54,(X),(X),"1,522",+/-71,(X),(X)
High school graduate or higher,"2,681",+/-130,89.2%,+/-4.7,"1,281",+/-113,86.3%,+/-7.1,"1,400",+/-63,92.0%,+/-5.9
Bachelor's degree or higher,387,+/-143,12.9%,+/-4.6,167,+/-79,11.3%,+/-5.3,220,+/-95,14.5%,+/-6.1
Population 45 to 64 years,"6,735",+/-71,(X),(X),"3,336",+/-56,(X),(X),"3,399",+/-50,(X),(X)
High school graduate or higher,"5,975",+/-155,88.7%,+/-2.3,"2,904",+/-122,87.1%,+/-4.0,"3,071",+/-90,90.4%,+/-2.6
Bachelor's degree or higher,839,+/-195,12.5%,+/-2.9,440,+/-154,13.2%,+/-4.6,399,+/-120,11.7%,+/-3.5
Population 65 years and over,"3,771",+/-42,(X),(X),"1,677",+/-35,(X),(X),"2,094",+/-29,(X),(X)
High school graduate or higher,"2,828",+/-171,75.0%,+/-4.4,"1,286",+/-100,76.7%,+/-5.8,"1,542",+/-132,73.6%,+/-6.4
Bachelor's degree or higher,448,+/-132,11.9%,+/-3.5,188,+/-88,11.2%,+/-5.2,260,+/-97,12.4%,+/-4.6
