RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"29,176",+/-139,(X),(X),"14,161",+/-92,(X),(X),"15,015",+/-94,(X),(X)
High school graduate or higher,"25,701",+/-417,88.1%,+/-1.3,"12,500",+/-273,88.3%,+/-1.9,"13,201",+/-298,87.9%,+/-1.8
Bachelor's degree or higher,"4,283",+/-398,14.7%,+/-1.4,"1,880",+/-239,13.3%,+/-1.7,"2,403",+/-290,16.0%,+/-1.9
"White alone, not Hispanic or Latino","28,735",+/-75,(X),(X),"13,877",+/-28,(X),(X),"14,858",+/-57,(X),(X)
High school graduate or higher,"25,414",+/-378,88.4%,+/-1.3,"12,344",+/-247,89.0%,+/-1.8,"13,070",+/-277,88.0%,+/-1.8
Bachelor's degree or higher,"4,199",+/-399,14.6%,+/-1.4,"1,852",+/-235,13.3%,+/-1.7,"2,347",+/-288,15.8%,+/-1.9
Black alone,355,+/-104,(X),(X),179,+/-119,(X),(X),176,+/-44,(X),(X)
High school graduate or higher,208,+/-82,58.6%,+/-23.1,74,+/-57,41.3%,+/-35.8,134,+/-51,76.1%,+/-29.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-8.1,0,+/-24,0.0%,+/-15.4,0,+/-24,0.0%,+/-15.6
American Indian or Alaska Native alone,88,+/-89,(X),(X),49,+/-51,(X),(X),39,+/-47,(X),(X)
High school graduate or higher,38,+/-37,43.2%,+/-34.3,17,+/-31,34.7%,+/-52.1,21,+/-23,53.8%,+/-24.6
Bachelor's degree or higher,17,+/-31,19.3%,+/-35.6,17,+/-31,34.7%,+/-52.1,0,+/-24,0.0%,+/-45.6
Asian alone,234,+/-34,(X),(X),111,+/-20,(X),(X),123,+/-27,(X),(X)
High school graduate or higher,205,+/-44,87.6%,+/-13.3,96,+/-28,86.5%,+/-20.2,109,+/-30,88.6%,+/-12.1
Bachelor's degree or higher,132,+/-42,56.4%,+/-16.1,76,+/-29,68.5%,+/-22.6,56,+/-30,45.5%,+/-21.8
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,439,+/-150,(X),(X),177,+/-91,(X),(X),262,+/-89,(X),(X)
High school graduate or higher,265,+/-135,60.4%,+/-17.4,103,+/-67,58.2%,+/-23.3,162,+/-87,61.8%,+/-20.2
Bachelor's degree or higher,39,+/-43,8.9%,+/-9.5,21,+/-27,11.9%,+/-15.6,18,+/-23,6.9%,+/-8.4
Two or more races,164,+/-62,(X),(X),111,+/-52,(X),(X),53,+/-42,(X),(X)
High school graduate or higher,136,+/-57,82.9%,+/-17.5,111,+/-52,100.0%,+/-23.4,25,+/-26,47.2%,+/-38.6
Bachelor's degree or higher,40,+/-35,24.4%,+/-19.0,15,+/-28,13.5%,+/-22.0,25,+/-26,47.2%,+/-38.6
Hispanic or Latino Origin,859,+/-80,(X),(X),464,+/-49,(X),(X),395,+/-69,(X),(X)
High school graduate or higher,481,+/-132,56.0%,+/-13.2,230,+/-86,49.6%,+/-17.5,251,+/-98,63.5%,+/-17.3
Bachelor's degree or higher,105,+/-73,12.2%,+/-8.6,41,+/-41,8.8%,+/-9.2,64,+/-62,16.2%,+/-15.1
