Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,500",+/-65,(X),(X),"1,786",+/-36,(X),(X),"1,714",+/-53,(X),(X)
Less than high school graduate,713,+/-156,20.4%,+/-4.4,414,+/-117,23.2%,+/-6.5,299,+/-91,17.4%,+/-5.3
High school graduate (includes equivalency),"1,192",+/-189,34.1%,+/-5.4,599,+/-142,33.5%,+/-7.9,593,+/-130,34.6%,+/-7.6
Some college or associate's degree,"1,457",+/-199,41.6%,+/-5.7,750,+/-149,42.0%,+/-8.3,707,+/-146,41.2%,+/-8.3
Bachelor's degree or higher,138,+/-72,3.9%,+/-2.1,23,+/-25,1.3%,+/-1.4,115,+/-67,6.7%,+/-3.8
Population 25 years and over,"30,587",+/-82,(X),(X),"14,892",+/-104,(X),(X),"15,695",+/-82,(X),(X)
Less than 9th grade,899,+/-249,2.9%,+/-0.8,461,+/-159,3.1%,+/-1.1,438,+/-159,2.8%,+/-1.0
"9th to 12th grade, no diploma","2,740",+/-395,9.0%,+/-1.3,"1,263",+/-223,8.5%,+/-1.5,"1,477",+/-237,9.4%,+/-1.5
High school graduate (includes equivalency),"13,192",+/-516,43.1%,+/-1.7,"6,876",+/-353,46.2%,+/-2.3,"6,316",+/-388,40.2%,+/-2.5
"Some college, no degree","5,783",+/-417,18.9%,+/-1.4,"2,737",+/-334,18.4%,+/-2.3,"3,046",+/-296,19.4%,+/-1.9
Associate's degree,"2,480",+/-353,8.1%,+/-1.2,"1,194",+/-220,8.0%,+/-1.5,"1,286",+/-236,8.2%,+/-1.5
Bachelor's degree,"3,670",+/-347,12.0%,+/-1.1,"1,590",+/-215,10.7%,+/-1.4,"2,080",+/-243,13.3%,+/-1.5
Graduate or professional degree,"1,823",+/-282,6.0%,+/-0.9,771,+/-171,5.2%,+/-1.1,"1,052",+/-224,6.7%,+/-1.4
Percent high school graduate or higher,(X),(X),88.1%,+/-1.4,(X),(X),88.4%,+/-1.7,(X),(X),87.8%,+/-1.8
Percent bachelor's degree or higher,(X),(X),18.0%,+/-1.5,(X),(X),15.9%,+/-1.7,(X),(X),20.0%,+/-2.0
Population 25 to 34 years,"5,204",+/-128,(X),(X),"2,541",+/-79,(X),(X),"2,663",+/-89,(X),(X)
High school graduate or higher,"4,758",+/-155,91.4%,+/-2.6,"2,358",+/-95,92.8%,+/-3.1,"2,400",+/-124,90.1%,+/-3.9
Bachelor's degree or higher,"1,294",+/-209,24.9%,+/-4.1,437,+/-127,17.2%,+/-5.0,857,+/-180,32.2%,+/-6.8
Population 35 to 44 years,"5,384",+/-142,(X),(X),"2,793",+/-121,(X),(X),"2,591",+/-63,(X),(X)
High school graduate or higher,"4,871",+/-209,90.5%,+/-2.9,"2,605",+/-160,93.3%,+/-3.7,"2,266",+/-124,87.5%,+/-4.6
Bachelor's degree or higher,935,+/-164,17.4%,+/-3.0,473,+/-115,16.9%,+/-4.1,462,+/-112,17.8%,+/-4.3
Population 45 to 64 years,"12,973",+/-173,(X),(X),"6,444",+/-120,(X),(X),"6,529",+/-109,(X),(X)
High school graduate or higher,"11,831",+/-232,91.2%,+/-1.6,"5,738",+/-173,89.0%,+/-2.6,"6,093",+/-130,93.3%,+/-1.7
Bachelor's degree or higher,"2,252",+/-270,17.4%,+/-2.1,922,+/-161,14.3%,+/-2.5,"1,330",+/-191,20.4%,+/-2.8
Population 65 years and over,"7,026",+/-73,(X),(X),"3,114",+/-53,(X),(X),"3,912",+/-46,(X),(X)
High school graduate or higher,"5,488",+/-287,78.1%,+/-4.0,"2,467",+/-167,79.2%,+/-5.2,"3,021",+/-174,77.2%,+/-4.3
Bachelor's degree or higher,"1,012",+/-210,14.4%,+/-2.9,529,+/-122,17.0%,+/-3.8,483,+/-144,12.3%,+/-3.6
