Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,600",+/-49,(X),(X),831,+/-32,(X),(X),769,+/-40,(X),(X)
Less than high school graduate,393,+/-151,24.6%,+/-9.3,253,+/-105,30.4%,+/-12.6,140,+/-73,18.2%,+/-9.2
High school graduate (includes equivalency),569,+/-146,35.6%,+/-8.9,283,+/-90,34.1%,+/-10.2,286,+/-105,37.2%,+/-13.7
Some college or associate's degree,536,+/-166,33.5%,+/-10.5,255,+/-83,30.7%,+/-10.3,281,+/-140,36.5%,+/-18.4
Bachelor's degree or higher,102,+/-55,6.4%,+/-3.5,40,+/-35,4.8%,+/-4.2,62,+/-45,8.1%,+/-5.8
Population 25 years and over,"14,377",+/-50,(X),(X),"7,188",+/-54,(X),(X),"7,189",+/-47,(X),(X)
Less than 9th grade,375,+/-100,2.6%,+/-0.7,178,+/-62,2.5%,+/-0.9,197,+/-67,2.7%,+/-0.9
"9th to 12th grade, no diploma","1,085",+/-167,7.5%,+/-1.2,578,+/-113,8.0%,+/-1.6,507,+/-109,7.1%,+/-1.5
High school graduate (includes equivalency),"6,391",+/-300,44.5%,+/-2.1,"3,410",+/-198,47.4%,+/-2.8,"2,981",+/-205,41.5%,+/-2.8
"Some college, no degree","2,783",+/-268,19.4%,+/-1.8,"1,295",+/-179,18.0%,+/-2.5,"1,488",+/-179,20.7%,+/-2.5
Associate's degree,"1,462",+/-186,10.2%,+/-1.3,628,+/-128,8.7%,+/-1.8,834,+/-158,11.6%,+/-2.2
Bachelor's degree,"1,479",+/-188,10.3%,+/-1.3,742,+/-134,10.3%,+/-1.9,737,+/-133,10.3%,+/-1.8
Graduate or professional degree,802,+/-162,5.6%,+/-1.1,357,+/-85,5.0%,+/-1.2,445,+/-115,6.2%,+/-1.6
Percent high school graduate or higher,(X),(X),89.8%,+/-1.3,(X),(X),89.5%,+/-1.8,(X),(X),90.2%,+/-1.6
Percent bachelor's degree or higher,(X),(X),15.9%,+/-1.6,(X),(X),15.3%,+/-2.0,(X),(X),16.4%,+/-2.3
Population 25 to 34 years,"2,091",+/-54,(X),(X),"1,096",+/-36,(X),(X),995,+/-37,(X),(X)
High school graduate or higher,"1,932",+/-66,92.4%,+/-3.3,981,+/-43,89.5%,+/-4.6,951,+/-42,95.6%,+/-3.7
Bachelor's degree or higher,425,+/-109,20.3%,+/-5.3,172,+/-65,15.7%,+/-5.8,253,+/-75,25.4%,+/-7.7
Population 35 to 44 years,"2,426",+/-63,(X),(X),"1,208",+/-46,(X),(X),"1,218",+/-30,(X),(X)
High school graduate or higher,"2,215",+/-83,91.3%,+/-3.2,"1,107",+/-61,91.6%,+/-4.5,"1,108",+/-44,91.0%,+/-3.8
Bachelor's degree or higher,468,+/-113,19.3%,+/-4.6,163,+/-64,13.5%,+/-5.2,305,+/-78,25.0%,+/-6.4
Population 45 to 64 years,"6,130",+/-62,(X),(X),"3,153",+/-50,(X),(X),"2,977",+/-26,(X),(X)
High school graduate or higher,"5,620",+/-135,91.7%,+/-2.1,"2,870",+/-97,91.0%,+/-2.7,"2,750",+/-76,92.4%,+/-2.4
Bachelor's degree or higher,992,+/-146,16.2%,+/-2.4,518,+/-91,16.4%,+/-2.8,474,+/-106,15.9%,+/-3.6
Population 65 years and over,"3,730",+/-29,(X),(X),"1,731",+/-12,(X),(X),"1,999",+/-30,(X),(X)
High school graduate or higher,"3,150",+/-117,84.5%,+/-3.1,"1,474",+/-76,85.2%,+/-4.5,"1,676",+/-73,83.8%,+/-3.6
Bachelor's degree or higher,396,+/-99,10.6%,+/-2.7,246,+/-69,14.2%,+/-4.0,150,+/-54,7.5%,+/-2.7
