Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"29,845",+/-102,(X),(X),"14,336",+/-50,(X),(X),"15,509",+/-71,(X),(X)
Less than high school graduate,"3,992",+/-396,13.4%,+/-1.3,"2,094",+/-264,14.6%,+/-1.8,"1,898",+/-305,12.2%,+/-2.0
High school graduate (includes equivalency),"9,357",+/-493,31.4%,+/-1.6,"4,892",+/-400,34.1%,+/-2.8,"4,465",+/-327,28.8%,+/-2.1
Some college or associate's degree,"13,220",+/-622,44.3%,+/-2.1,"5,711",+/-389,39.8%,+/-2.7,"7,509",+/-411,48.4%,+/-2.7
Bachelor's degree or higher,"3,276",+/-547,11.0%,+/-1.8,"1,639",+/-376,11.4%,+/-2.6,"1,637",+/-298,10.6%,+/-1.9
Population 25 years and over,"173,405",+/-90,(X),(X),"82,649",+/-53,(X),(X),"90,756",+/-55,(X),(X)
Less than 9th grade,"6,388",+/-542,3.7%,+/-0.3,"3,084",+/-363,3.7%,+/-0.4,"3,304",+/-348,3.6%,+/-0.4
"9th to 12th grade, no diploma","14,917",+/-717,8.6%,+/-0.4,"7,265",+/-456,8.8%,+/-0.6,"7,652",+/-545,8.4%,+/-0.6
High school graduate (includes equivalency),"53,598","+/-1,392",30.9%,+/-0.8,"25,579",+/-815,30.9%,+/-1.0,"28,019",+/-859,30.9%,+/-0.9
"Some college, no degree","36,229","+/-1,177",20.9%,+/-0.7,"17,337",+/-727,21.0%,+/-0.9,"18,892",+/-773,20.8%,+/-0.9
Associate's degree,"13,294",+/-764,7.7%,+/-0.4,"5,508",+/-464,6.7%,+/-0.6,"7,786",+/-531,8.6%,+/-0.6
Bachelor's degree,"29,937","+/-1,137",17.3%,+/-0.7,"14,050",+/-752,17.0%,+/-0.9,"15,887",+/-705,17.5%,+/-0.8
Graduate or professional degree,"19,042",+/-818,11.0%,+/-0.5,"9,826",+/-483,11.9%,+/-0.6,"9,216",+/-572,10.2%,+/-0.6
Percent high school graduate or higher,(X),(X),87.7%,+/-0.5,(X),(X),87.5%,+/-0.6,(X),(X),87.9%,+/-0.7
Percent bachelor's degree or higher,(X),(X),28.2%,+/-0.8,(X),(X),28.9%,+/-1.1,(X),(X),27.7%,+/-1.0
Population 25 to 34 years,"34,670",+/-97,(X),(X),"17,239",+/-50,(X),(X),"17,431",+/-62,(X),(X)
High school graduate or higher,"30,955",+/-410,89.3%,+/-1.2,"15,175",+/-251,88.0%,+/-1.5,"15,780",+/-290,90.5%,+/-1.7
Bachelor's degree or higher,"11,797",+/-604,34.0%,+/-1.8,"5,335",+/-395,30.9%,+/-2.3,"6,462",+/-421,37.1%,+/-2.4
Population 35 to 44 years,"31,759",+/-80,(X),(X),"15,588",+/-69,(X),(X),"16,171",+/-51,(X),(X)
High school graduate or higher,"28,302",+/-378,89.1%,+/-1.2,"13,782",+/-260,88.4%,+/-1.7,"14,520",+/-241,89.8%,+/-1.5
Bachelor's degree or higher,"9,576",+/-535,30.2%,+/-1.7,"4,484",+/-320,28.8%,+/-2.1,"5,092",+/-410,31.5%,+/-2.5
Population 45 to 64 years,"68,606",+/-120,(X),(X),"33,431",+/-104,(X),(X),"35,175",+/-51,(X),(X)
High school graduate or higher,"61,396",+/-478,89.5%,+/-0.7,"29,591",+/-303,88.5%,+/-0.9,"31,805",+/-356,90.4%,+/-1.0
Bachelor's degree or higher,"19,687",+/-797,28.7%,+/-1.2,"9,684",+/-494,29.0%,+/-1.5,"10,003",+/-453,28.4%,+/-1.3
Population 65 years and over,"38,370",+/-83,(X),(X),"16,391",+/-83,(X),(X),"21,979",+/-6,(X),(X)
High school graduate or higher,"31,447",+/-459,82.0%,+/-1.2,"13,752",+/-266,83.9%,+/-1.6,"17,695",+/-339,80.5%,+/-1.5
Bachelor's degree or higher,"7,919",+/-491,20.6%,+/-1.3,"4,373",+/-291,26.7%,+/-1.8,"3,546",+/-323,16.1%,+/-1.5
