RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"144,468",+/-353,(X),(X),"69,339",+/-235,(X),(X),"75,129",+/-187,(X),(X)
High school graduate or higher,"129,282",+/-742,89.5%,+/-0.5,"61,633",+/-510,88.9%,+/-0.8,"67,649",+/-529,90.0%,+/-0.7
Bachelor's degree or higher,"43,031","+/-1,308",29.8%,+/-0.9,"21,020",+/-823,30.3%,+/-1.2,"22,011",+/-802,29.3%,+/-1.1
"White alone, not Hispanic or Latino","138,321",+/-62,(X),(X),"66,117",+/-39,(X),(X),"72,204",+/-48,(X),(X)
High school graduate or higher,"125,623",+/-730,90.8%,+/-0.5,"59,796",+/-495,90.4%,+/-0.7,"65,827",+/-510,91.2%,+/-0.7
Bachelor's degree or higher,"42,004","+/-1,267",30.4%,+/-0.9,"20,588",+/-813,31.1%,+/-1.2,"21,416",+/-768,29.7%,+/-1.1
Black alone,"19,261",+/-194,(X),(X),"8,565",+/-129,(X),(X),"10,696",+/-146,(X),(X)
High school graduate or higher,"15,621",+/-402,81.1%,+/-1.9,"7,095",+/-261,82.8%,+/-2.9,"8,526",+/-305,79.7%,+/-2.5
Bachelor's degree or higher,"2,828",+/-393,14.7%,+/-2.0,"1,303",+/-239,15.2%,+/-2.8,"1,525",+/-258,14.3%,+/-2.4
American Indian or Alaska Native alone,735,+/-171,(X),(X),371,+/-102,(X),(X),364,+/-117,(X),(X)
High school graduate or higher,502,+/-125,68.3%,+/-13.8,252,+/-62,67.9%,+/-18.2,250,+/-100,68.7%,+/-14.9
Bachelor's degree or higher,57,+/-33,7.8%,+/-4.5,28,+/-23,7.5%,+/-6.2,29,+/-22,8.0%,+/-6.2
Asian alone,"3,465",+/-198,(X),(X),"1,619",+/-142,(X),(X),"1,846",+/-103,(X),(X)
High school graduate or higher,"3,191",+/-220,92.1%,+/-3.8,"1,559",+/-157,96.3%,+/-3.3,"1,632",+/-131,88.4%,+/-6.4
Bachelor's degree or higher,"2,347",+/-269,67.7%,+/-7.3,"1,202",+/-191,74.2%,+/-10.7,"1,145",+/-152,62.0%,+/-8.1
Native Hawaiian and Other Pacific Islander alone,119,+/-35,(X),(X),73,+/-24,(X),(X),46,+/-20,(X),(X)
High school graduate or higher,112,+/-33,94.1%,+/-10.4,66,+/-21,90.4%,+/-16.4,46,+/-20,100.0%,+/-42.0
Bachelor's degree or higher,9,+/-13,7.6%,+/-12.1,9,+/-13,12.3%,+/-19.2,0,+/-27,0.0%,+/-42.0
Some other race alone,"3,096",+/-362,(X),(X),"1,563",+/-218,(X),(X),"1,533",+/-227,(X),(X)
High school graduate or higher,"1,582",+/-261,51.1%,+/-6.7,806,+/-168,51.6%,+/-7.8,776,+/-165,50.6%,+/-8.2
Bachelor's degree or higher,261,+/-103,8.4%,+/-3.3,96,+/-55,6.1%,+/-3.5,165,+/-83,10.8%,+/-5.4
Two or more races,"2,261",+/-324,(X),(X),"1,119",+/-227,(X),(X),"1,142",+/-201,(X),(X)
High school graduate or higher,"1,810",+/-298,80.1%,+/-6.2,889,+/-198,79.4%,+/-9.0,921,+/-182,80.6%,+/-6.4
Bachelor's degree or higher,446,+/-139,19.7%,+/-5.6,218,+/-101,19.5%,+/-8.4,228,+/-89,20.0%,+/-6.6
Hispanic or Latino Origin,"9,840",*****,(X),(X),"5,129",*****,(X),(X),"4,711",*****,(X),(X)
High school graduate or higher,"5,579",+/-352,56.7%,+/-3.6,"2,865",+/-239,55.9%,+/-4.6,"2,714",+/-224,57.6%,+/-4.7
Bachelor's degree or higher,"1,347",+/-226,13.7%,+/-2.3,584,+/-137,11.4%,+/-2.7,763,+/-162,16.2%,+/-3.4
