Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,911",+/-68,(X),(X),941,+/-65,(X),(X),970,+/-44,(X),(X)
Less than high school graduate,481,+/-110,25.2%,+/-5.7,228,+/-77,24.2%,+/-8.2,253,+/-73,26.1%,+/-7.1
High school graduate (includes equivalency),786,+/-110,41.1%,+/-5.3,466,+/-93,49.5%,+/-8.7,320,+/-79,33.0%,+/-7.9
Some college or associate's degree,453,+/-114,23.7%,+/-6.0,196,+/-79,20.8%,+/-8.3,257,+/-76,26.5%,+/-8.0
Bachelor's degree or higher,191,+/-81,10.0%,+/-4.3,51,+/-35,5.4%,+/-3.8,140,+/-64,14.4%,+/-6.8
Population 25 years and over,"15,800",+/-77,(X),(X),"7,732",+/-75,(X),(X),"8,068",+/-57,(X),(X)
Less than 9th grade,947,+/-205,6.0%,+/-1.3,477,+/-148,6.2%,+/-1.9,470,+/-110,5.8%,+/-1.4
"9th to 12th grade, no diploma","1,850",+/-262,11.7%,+/-1.7,890,+/-169,11.5%,+/-2.2,960,+/-164,11.9%,+/-2.0
High school graduate (includes equivalency),"6,690",+/-336,42.3%,+/-2.1,"3,408",+/-288,44.1%,+/-3.7,"3,282",+/-223,40.7%,+/-2.8
"Some college, no degree","3,048",+/-289,19.3%,+/-1.8,"1,485",+/-184,19.2%,+/-2.4,"1,563",+/-202,19.4%,+/-2.5
Associate's degree,"1,431",+/-202,9.1%,+/-1.3,572,+/-139,7.4%,+/-1.8,859,+/-154,10.6%,+/-1.9
Bachelor's degree,"1,204",+/-174,7.6%,+/-1.1,620,+/-116,8.0%,+/-1.5,584,+/-118,7.2%,+/-1.5
Graduate or professional degree,630,+/-123,4.0%,+/-0.8,280,+/-75,3.6%,+/-1.0,350,+/-84,4.3%,+/-1.0
Percent high school graduate or higher,(X),(X),82.3%,+/-2.0,(X),(X),82.3%,+/-2.4,(X),(X),82.3%,+/-2.4
Percent bachelor's degree or higher,(X),(X),11.6%,+/-1.2,(X),(X),11.6%,+/-1.6,(X),(X),11.6%,+/-1.6
Population 25 to 34 years,"2,485",+/-41,(X),(X),"1,175",+/-5,(X),(X),"1,310",+/-41,(X),(X)
High school graduate or higher,"2,191",+/-115,88.2%,+/-4.4,"1,000",+/-94,85.1%,+/-8.1,"1,191",+/-69,90.9%,+/-4.6
Bachelor's degree or higher,378,+/-96,15.2%,+/-3.9,161,+/-57,13.7%,+/-4.8,217,+/-66,16.6%,+/-5.1
Population 35 to 44 years,"2,756",+/-70,(X),(X),"1,414",+/-63,(X),(X),"1,342",+/-22,(X),(X)
High school graduate or higher,"2,294",+/-173,83.2%,+/-5.7,"1,180",+/-104,83.5%,+/-6.0,"1,114",+/-98,83.0%,+/-7.3
Bachelor's degree or higher,350,+/-105,12.7%,+/-3.8,176,+/-69,12.4%,+/-4.9,174,+/-65,13.0%,+/-4.9
Population 45 to 64 years,"6,780",+/-99,(X),(X),"3,360",+/-63,(X),(X),"3,420",+/-65,(X),(X)
High school graduate or higher,"5,665",+/-164,83.6%,+/-2.4,"2,795",+/-104,83.2%,+/-3.0,"2,870",+/-127,83.9%,+/-3.3
Bachelor's degree or higher,741,+/-135,10.9%,+/-2.0,336,+/-86,10.0%,+/-2.6,405,+/-86,11.8%,+/-2.5
Population 65 years and over,"3,779",+/-62,(X),(X),"1,783",+/-40,(X),(X),"1,996",+/-31,(X),(X)
High school graduate or higher,"2,853",+/-143,75.5%,+/-3.6,"1,390",+/-82,78.0%,+/-4.4,"1,463",+/-107,73.3%,+/-5.3
Bachelor's degree or higher,365,+/-91,9.7%,+/-2.4,227,+/-71,12.7%,+/-4.0,138,+/-53,6.9%,+/-2.6
