RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,297",+/-117,(X),(X),"7,523",+/-73,(X),(X),"7,774",+/-52,(X),(X)
High school graduate or higher,"12,666",+/-319,82.8%,+/-2.0,"6,243",+/-191,83.0%,+/-2.5,"6,423",+/-193,82.6%,+/-2.4
Bachelor's degree or higher,"1,791",+/-190,11.7%,+/-1.2,883,+/-124,11.7%,+/-1.6,908,+/-129,11.7%,+/-1.7
"White alone, not Hispanic or Latino","15,137",+/-5,(X),(X),"7,427",+/-5,(X),(X),"7,710",+/-21,(X),(X)
High school graduate or higher,"12,561",+/-301,83.0%,+/-2.0,"6,176",+/-186,83.2%,+/-2.5,"6,385",+/-186,82.8%,+/-2.4
Bachelor's degree or higher,"1,791",+/-190,11.8%,+/-1.3,883,+/-124,11.9%,+/-1.7,908,+/-129,11.8%,+/-1.7
Black alone,89,+/-70,(X),(X),31,+/-45,(X),(X),58,+/-53,(X),(X)
High school graduate or higher,86,+/-70,96.6%,+/-8.1,31,+/-45,100.0%,+/-51.2,55,+/-53,94.8%,+/-13.7
Bachelor's degree or higher,0,+/-21,0.0%,+/-27.9,0,+/-21,0.0%,+/-51.2,0,+/-21,0.0%,+/-37.4
American Indian or Alaska Native alone,13,+/-14,(X),(X),4,+/-7,(X),(X),9,+/-12,(X),(X)
High school graduate or higher,13,+/-14,100.0%,+/-79.0,4,+/-7,100.0%,+/-100.0,9,+/-12,100.0%,+/-95.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-79.0,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-95.0
Asian alone,45,+/-23,(X),(X),16,+/-13,(X),(X),29,+/-16,(X),(X)
High school graduate or higher,45,+/-23,100.0%,+/-42.5,16,+/-13,100.0%,+/-71.2,29,+/-16,100.0%,+/-52.9
Bachelor's degree or higher,18,+/-18,40.0%,+/-43.2,8,+/-10,50.0%,+/-50.0,10,+/-9,34.5%,+/-38.8
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,267,+/-134,(X),(X),101,+/-77,(X),(X),166,+/-70,(X),(X)
High school graduate or higher,104,+/-46,39.0%,+/-24.6,14,+/-22,13.9%,+/-28.4,90,+/-41,54.2%,+/-24.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-10.6,0,+/-21,0.0%,+/-25.3,0,+/-21,0.0%,+/-16.5
Two or more races,89,+/-54,(X),(X),57,+/-42,(X),(X),32,+/-30,(X),(X)
High school graduate or higher,89,+/-54,100.0%,+/-27.9,57,+/-42,100.0%,+/-37.7,32,+/-30,100.0%,+/-50.4
Bachelor's degree or higher,25,+/-27,28.1%,+/-24.6,9,+/-17,15.8%,+/-26.3,16,+/-21,50.0%,+/-41.6
Hispanic or Latino Origin,427,+/-50,(X),(X),197,+/-46,(X),(X),230,+/-34,(X),(X)
High school graduate or higher,209,+/-83,48.9%,+/-19.8,81,+/-65,41.1%,+/-32.3,128,+/-47,55.7%,+/-17.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-6.8,0,+/-21,0.0%,+/-14.1,0,+/-21,0.0%,+/-12.2
