Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,752",+/-120,(X),(X),"2,183",+/-84,(X),(X),"1,569",+/-56,(X),(X)
Less than high school graduate,455,+/-171,12.1%,+/-4.4,237,+/-111,10.9%,+/-5.0,218,+/-94,13.9%,+/-5.8
High school graduate (includes equivalency),"1,362",+/-167,36.3%,+/-4.5,866,+/-135,39.7%,+/-6.1,496,+/-101,31.6%,+/-6.3
Some college or associate's degree,"1,720",+/-195,45.8%,+/-5.3,970,+/-146,44.4%,+/-6.6,750,+/-108,47.8%,+/-6.9
Bachelor's degree or higher,215,+/-124,5.7%,+/-3.3,110,+/-105,5.0%,+/-4.8,105,+/-56,6.7%,+/-3.6
Population 25 years and over,"23,141",+/-120,(X),(X),"11,493",+/-98,(X),(X),"11,648",+/-65,(X),(X)
Less than 9th grade,613,+/-165,2.6%,+/-0.7,360,+/-115,3.1%,+/-1.0,253,+/-80,2.2%,+/-0.7
"9th to 12th grade, no diploma","1,804",+/-281,7.8%,+/-1.2,796,+/-138,6.9%,+/-1.2,"1,008",+/-201,8.7%,+/-1.7
High school graduate (includes equivalency),"8,823",+/-370,38.1%,+/-1.6,"4,396",+/-284,38.2%,+/-2.5,"4,427",+/-255,38.0%,+/-2.2
"Some college, no degree","5,138",+/-390,22.2%,+/-1.7,"2,736",+/-272,23.8%,+/-2.3,"2,402",+/-237,20.6%,+/-2.1
Associate's degree,"2,141",+/-273,9.3%,+/-1.2,954,+/-176,8.3%,+/-1.5,"1,187",+/-180,10.2%,+/-1.5
Bachelor's degree,"3,172",+/-300,13.7%,+/-1.3,"1,602",+/-201,13.9%,+/-1.7,"1,570",+/-195,13.5%,+/-1.7
Graduate or professional degree,"1,450",+/-234,6.3%,+/-1.0,649,+/-124,5.6%,+/-1.1,801,+/-160,6.9%,+/-1.4
Percent high school graduate or higher,(X),(X),89.6%,+/-1.5,(X),(X),89.9%,+/-1.6,(X),(X),89.2%,+/-1.8
Percent bachelor's degree or higher,(X),(X),20.0%,+/-1.6,(X),(X),19.6%,+/-1.9,(X),(X),20.4%,+/-2.1
Population 25 to 34 years,"3,461",+/-60,(X),(X),"1,794",+/-41,(X),(X),"1,667",+/-40,(X),(X)
High school graduate or higher,"3,106",+/-132,89.7%,+/-3.5,"1,617",+/-77,90.1%,+/-3.9,"1,489",+/-100,89.3%,+/-5.7
Bachelor's degree or higher,743,+/-174,21.5%,+/-5.1,388,+/-125,21.6%,+/-7.0,355,+/-103,21.3%,+/-6.2
Population 35 to 44 years,"4,056",+/-97,(X),(X),"2,064",+/-70,(X),(X),"1,992",+/-49,(X),(X)
High school graduate or higher,"3,775",+/-101,93.1%,+/-2.6,"1,884",+/-73,91.3%,+/-3.9,"1,891",+/-54,94.9%,+/-2.5
Bachelor's degree or higher,980,+/-168,24.2%,+/-4.1,433,+/-118,21.0%,+/-5.7,547,+/-101,27.5%,+/-5.1
Population 45 to 64 years,"9,933",+/-67,(X),(X),"4,988",+/-47,(X),(X),"4,945",+/-51,(X),(X)
High school graduate or higher,"8,986",+/-188,90.5%,+/-2.0,"4,578",+/-103,91.8%,+/-2.0,"4,408",+/-129,89.1%,+/-2.9
Bachelor's degree or higher,"1,881",+/-228,18.9%,+/-2.3,799,+/-134,16.0%,+/-2.7,"1,082",+/-181,21.9%,+/-3.7
Population 65 years and over,"5,691",+/-31,(X),(X),"2,647",+/-30,(X),(X),"3,044",+/-18,(X),(X)
High school graduate or higher,"4,857",+/-147,85.3%,+/-2.5,"2,258",+/-100,85.3%,+/-3.6,"2,599",+/-100,85.4%,+/-3.4
Bachelor's degree or higher,"1,018",+/-150,17.9%,+/-2.6,631,+/-108,23.8%,+/-4.1,387,+/-78,12.7%,+/-2.6
