RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,843",+/-116,(X),(X),"11,306",+/-65,(X),(X),"11,537",+/-60,(X),(X)
High school graduate or higher,"20,218",+/-347,88.5%,+/-1.6,"10,064",+/-173,89.0%,+/-1.6,"10,154",+/-236,88.0%,+/-2.1
Bachelor's degree or higher,"4,568",+/-407,20.0%,+/-1.8,"2,279",+/-257,20.2%,+/-2.3,"2,289",+/-232,19.8%,+/-2.0
"White alone, not Hispanic or Latino","22,382",+/-24,(X),(X),"11,080",+/-24,(X),(X),"11,302",+/-24,(X),(X)
High school graduate or higher,"20,093",+/-344,89.8%,+/-1.5,"10,004",+/-170,90.3%,+/-1.5,"10,089",+/-233,89.3%,+/-2.1
Bachelor's degree or higher,"4,534",+/-404,20.3%,+/-1.8,"2,264",+/-255,20.4%,+/-2.3,"2,270",+/-232,20.1%,+/-2.1
Black alone,27,+/-19,(X),(X),15,+/-15,(X),(X),12,+/-12,(X),(X)
High school graduate or higher,18,+/-15,66.7%,+/-35.7,6,+/-7,40.0%,+/-36.6,12,+/-12,100.0%,+/-82.2
Bachelor's degree or higher,7,+/-10,25.9%,+/-30.1,0,+/-24,0.0%,+/-73.6,7,+/-10,58.3%,+/-45.2
American Indian or Alaska Native alone,12,+/-10,(X),(X),5,+/-6,(X),(X),7,+/-8,(X),(X)
High school graduate or higher,12,+/-10,100.0%,+/-82.2,5,+/-6,100.0%,+/-100.0,7,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-82.3,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Asian alone,125,+/-32,(X),(X),65,+/-27,(X),(X),60,+/-19,(X),(X)
High school graduate or higher,120,+/-33,96.0%,+/-5.0,62,+/-27,95.4%,+/-8.1,58,+/-19,96.7%,+/-5.5
Bachelor's degree or higher,33,+/-22,26.4%,+/-17.3,5,+/-9,7.7%,+/-14.1,28,+/-19,46.7%,+/-24.8
Native Hawaiian and Other Pacific Islander alone,10,+/-16,(X),(X),10,+/-16,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,10,+/-16,100.0%,+/-90.1,10,+/-16,100.0%,+/-90.1,0,+/-24,-,**
Bachelor's degree or higher,10,+/-16,100.0%,+/-90.1,10,+/-16,100.0%,+/-90.1,0,+/-24,-,**
Some other race alone,24,+/-32,(X),(X),24,+/-32,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,17,+/-29,70.8%,+/-47.0,17,+/-29,70.8%,+/-47.0,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-58.2,0,+/-24,0.0%,+/-58.2,0,+/-24,-,**
Two or more races,253,+/-41,(X),(X),118,+/-40,(X),(X),135,+/-26,(X),(X)
High school graduate or higher,215,+/-41,85.0%,+/-7.7,101,+/-41,85.6%,+/-12.0,114,+/-25,84.4%,+/-10.3
Bachelor's degree or higher,28,+/-20,11.1%,+/-7.3,16,+/-17,13.6%,+/-14.0,12,+/-10,8.9%,+/-8.2
Hispanic or Latino Origin,492,+/-108,(X),(X),253,+/-63,(X),(X),239,+/-58,(X),(X)
High school graduate or higher,149,+/-93,30.3%,+/-19.3,80,+/-59,31.6%,+/-21.4,69,+/-53,28.9%,+/-22.6
Bachelor's degree or higher,38,+/-40,7.7%,+/-8.1,15,+/-25,5.9%,+/-9.9,23,+/-28,9.6%,+/-11.9
