RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,952",+/-47,(X),(X),"7,211",+/-42,(X),(X),"6,741",+/-30,(X),(X)
High school graduate or higher,"12,221",+/-254,87.6%,+/-1.8,"6,167",+/-208,85.5%,+/-2.8,"6,054",+/-150,89.8%,+/-2.2
Bachelor's degree or higher,"1,797",+/-230,12.9%,+/-1.6,908,+/-150,12.6%,+/-2.1,889,+/-145,13.2%,+/-2.1
"White alone, not Hispanic or Latino","13,814",+/-21,(X),(X),"7,103",+/-21,(X),(X),"6,711",+/-21,(X),(X)
High school graduate or higher,"12,117",+/-245,87.7%,+/-1.8,"6,093",+/-203,85.8%,+/-2.9,"6,024",+/-147,89.8%,+/-2.2
Bachelor's degree or higher,"1,779",+/-230,12.9%,+/-1.7,895,+/-149,12.6%,+/-2.1,884,+/-144,13.2%,+/-2.1
Black alone,707,+/-102,(X),(X),707,+/-102,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,445,+/-98,62.9%,+/-10.8,445,+/-98,62.9%,+/-10.8,0,+/-21,-,**
Bachelor's degree or higher,7,+/-10,1.0%,+/-1.4,7,+/-10,1.0%,+/-1.4,0,+/-21,-,**
American Indian or Alaska Native alone,42,+/-23,(X),(X),4,+/-7,(X),(X),38,+/-22,(X),(X)
High school graduate or higher,38,+/-26,90.5%,+/-20.3,4,+/-7,100.0%,+/-100.0,34,+/-24,89.5%,+/-23.9
Bachelor's degree or higher,12,+/-17,28.6%,+/-44.3,0,+/-21,0.0%,+/-100.0,12,+/-17,31.6%,+/-48.1
Asian alone,30,+/-44,(X),(X),12,+/-24,(X),(X),18,+/-35,(X),(X)
High school graduate or higher,12,+/-24,40.0%,+/-60.0,12,+/-24,100.0%,+/-82.2,0,+/-21,0.0%,+/-67.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-52.0,0,+/-21,0.0%,+/-82.3,0,+/-21,0.0%,+/-67.2
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,45,+/-47,(X),(X),7,+/-12,(X),(X),38,+/-47,(X),(X)
High school graduate or higher,38,+/-47,84.4%,+/-36.5,0,+/-21,0.0%,+/-100.0,38,+/-47,100.0%,+/-46.2
Bachelor's degree or higher,38,+/-47,84.4%,+/-36.5,0,+/-21,0.0%,+/-100.0,38,+/-47,100.0%,+/-46.2
Two or more races,153,+/-68,(X),(X),128,+/-64,(X),(X),25,+/-18,(X),(X)
High school graduate or higher,141,+/-68,92.2%,+/-9.8,120,+/-64,93.8%,+/-10.5,21,+/-15,84.0%,+/-22.9
Bachelor's degree or higher,36,+/-29,23.5%,+/-15.9,23,+/-22,18.0%,+/-16.0,13,+/-12,52.0%,+/-35.7
Hispanic or Latino Origin,206,+/-38,(X),(X),138,+/-46,(X),(X),68,+/-51,(X),(X)
High school graduate or higher,158,+/-47,76.7%,+/-17.8,90,+/-40,65.2%,+/-21.8,68,+/-51,100.0%,+/-33.9
Bachelor's degree or higher,56,+/-48,27.2%,+/-21.5,13,+/-17,9.4%,+/-12.1,43,+/-46,63.2%,+/-40.4
