Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,799,+/-36,(X),(X),416,+/-15,(X),(X),383,+/-33,(X),(X)
Less than high school graduate,217,+/-83,27.2%,+/-10.1,120,+/-43,28.8%,+/-10.4,97,+/-67,25.3%,+/-16.6
High school graduate (includes equivalency),305,+/-89,38.2%,+/-10.9,157,+/-71,37.7%,+/-16.7,148,+/-59,38.6%,+/-14.8
Some college or associate's degree,277,+/-59,34.7%,+/-7.7,139,+/-62,33.4%,+/-15.1,138,+/-50,36.0%,+/-13.9
Bachelor's degree or higher,0,+/-18,0.0%,+/-3.7,0,+/-18,0.0%,+/-7.0,0,+/-18,0.0%,+/-7.5
Population 25 years and over,"7,070",+/-77,(X),(X),"3,596",+/-82,(X),(X),"3,474",+/-26,(X),(X)
Less than 9th grade,380,+/-105,5.4%,+/-1.5,261,+/-80,7.3%,+/-2.2,119,+/-54,3.4%,+/-1.5
"9th to 12th grade, no diploma",842,+/-180,11.9%,+/-2.5,497,+/-136,13.8%,+/-3.7,345,+/-92,9.9%,+/-2.6
High school graduate (includes equivalency),"3,415",+/-242,48.3%,+/-3.4,"1,756",+/-169,48.8%,+/-4.7,"1,659",+/-130,47.8%,+/-3.8
"Some college, no degree","1,298",+/-157,18.4%,+/-2.2,607,+/-121,16.9%,+/-3.3,691,+/-101,19.9%,+/-2.9
Associate's degree,550,+/-143,7.8%,+/-2.0,208,+/-78,5.8%,+/-2.2,342,+/-106,9.8%,+/-3.1
Bachelor's degree,421,+/-106,6.0%,+/-1.5,197,+/-77,5.5%,+/-2.2,224,+/-75,6.4%,+/-2.1
Graduate or professional degree,164,+/-58,2.3%,+/-0.8,70,+/-48,1.9%,+/-1.3,94,+/-35,2.7%,+/-1.0
Percent high school graduate or higher,(X),(X),82.7%,+/-2.9,(X),(X),78.9%,+/-4.3,(X),(X),86.6%,+/-3.0
Percent bachelor's degree or higher,(X),(X),8.3%,+/-1.7,(X),(X),7.4%,+/-2.5,(X),(X),9.2%,+/-2.1
Population 25 to 34 years,"1,134",+/-9,(X),(X),569,+/-9,(X),(X),565,+/-18,(X),(X)
High school graduate or higher,976,+/-73,86.1%,+/-6.4,503,+/-37,88.4%,+/-6.2,473,+/-47,83.7%,+/-8.3
Bachelor's degree or higher,68,+/-39,6.0%,+/-3.5,28,+/-21,4.9%,+/-3.8,40,+/-26,7.1%,+/-4.6
Population 35 to 44 years,"1,260",+/-50,(X),(X),661,+/-52,(X),(X),599,+/-16,(X),(X)
High school graduate or higher,"1,109",+/-84,88.0%,+/-5.4,623,+/-58,94.3%,+/-4.1,486,+/-64,81.1%,+/-10.2
Bachelor's degree or higher,84,+/-51,6.7%,+/-4.1,12,+/-15,1.8%,+/-2.4,72,+/-43,12.0%,+/-7.1
Population 45 to 64 years,"2,899",+/-37,(X),(X),"1,490",+/-29,(X),(X),"1,409",+/-20,(X),(X)
High school graduate or higher,"2,422",+/-123,83.5%,+/-4.3,"1,125",+/-111,75.5%,+/-7.5,"1,297",+/-41,92.1%,+/-2.7
Bachelor's degree or higher,287,+/-94,9.9%,+/-3.2,129,+/-73,8.7%,+/-4.9,158,+/-58,11.2%,+/-4.1
Population 65 years and over,"1,777",+/-78,(X),(X),876,+/-71,(X),(X),901,+/-19,(X),(X)
High school graduate or higher,"1,341",+/-95,75.5%,+/-5.9,587,+/-66,67.0%,+/-9.2,754,+/-60,83.7%,+/-6.4
Bachelor's degree or higher,146,+/-61,8.2%,+/-3.5,98,+/-52,11.2%,+/-6.2,48,+/-28,5.3%,+/-3.1
