RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"6,945",+/-63,(X),(X),"3,510",+/-63,(X),(X),"3,435",+/-18,(X),(X)
High school graduate or higher,"5,758",+/-183,82.9%,+/-2.9,"2,786",+/-138,79.4%,+/-4.4,"2,972",+/-112,86.5%,+/-3.3
Bachelor's degree or higher,596,+/-132,8.6%,+/-1.9,306,+/-86,8.7%,+/-2.5,290,+/-87,8.4%,+/-2.5
"White alone, not Hispanic or Latino","6,899",+/-18,(X),(X),"3,464",+/-18,(X),(X),"3,435",+/-18,(X),(X)
High school graduate or higher,"5,758",+/-183,83.5%,+/-2.6,"2,786",+/-138,80.4%,+/-4.0,"2,972",+/-112,86.5%,+/-3.3
Bachelor's degree or higher,596,+/-132,8.6%,+/-1.9,306,+/-86,8.8%,+/-2.5,290,+/-87,8.4%,+/-2.5
Black alone,69,+/-53,(X),(X),45,+/-44,(X),(X),24,+/-34,(X),(X)
High school graduate or higher,20,+/-26,29.0%,+/-35.3,20,+/-26,44.4%,+/-53.2,0,+/-18,0.0%,+/-58.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-33.6,0,+/-18,0.0%,+/-42.5,0,+/-18,0.0%,+/-58.2
American Indian or Alaska Native alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Asian alone,38,+/-37,(X),(X),12,+/-14,(X),(X),26,+/-29,(X),(X)
High school graduate or higher,38,+/-37,100.0%,+/-46.2,12,+/-14,100.0%,+/-82.2,26,+/-29,100.0%,+/-55.9
Bachelor's degree or higher,4,+/-5,10.5%,+/-17.7,4,+/-5,33.3%,+/-47.8,0,+/-18,0.0%,+/-55.9
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,33,+/-51,(X),(X),33,+/-51,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,33,+/-51,100.0%,+/-49.6,33,+/-51,100.0%,+/-49.6,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-49.6,0,+/-18,0.0%,+/-49.6,0,+/-18,-,**
Two or more races,74,+/-63,(X),(X),28,+/-35,(X),(X),46,+/-38,(X),(X)
High school graduate or higher,63,+/-64,85.1%,+/-23.6,23,+/-34,82.1%,+/-43.0,40,+/-38,87.0%,+/-25.7
Bachelor's degree or higher,23,+/-34,31.1%,+/-44.9,0,+/-18,0.0%,+/-53.8,23,+/-34,50.0%,+/-50.0
Hispanic or Latino Origin,79,+/-72,(X),(X),79,+/-72,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,33,+/-51,41.8%,+/-58.2,33,+/-51,41.8%,+/-58.2,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-30.6,0,+/-18,0.0%,+/-30.6,0,+/-18,-,**
