Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"44,714",+/-73,(X),(X),"25,070",+/-73,(X),(X),"19,644",+/-27,(X),(X)
Less than high school graduate,"1,953",+/-400,4.4%,+/-0.9,947,+/-277,3.8%,+/-1.1,"1,006",+/-286,5.1%,+/-1.5
High school graduate (includes equivalency),"10,383",+/-760,23.2%,+/-1.7,"6,100",+/-557,24.3%,+/-2.2,"4,283",+/-501,21.8%,+/-2.6
Some college or associate's degree,"26,897",+/-976,60.2%,+/-2.2,"14,705",+/-757,58.7%,+/-3.0,"12,192",+/-552,62.1%,+/-2.8
Bachelor's degree or higher,"5,481",+/-686,12.3%,+/-1.5,"3,318",+/-504,13.2%,+/-2.0,"2,163",+/-381,11.0%,+/-1.9
Population 25 years and over,"100,694",+/-6,(X),(X),"49,468",+/-69,(X),(X),"51,226",+/-69,(X),(X)
Less than 9th grade,"3,028",+/-451,3.0%,+/-0.4,"1,736",+/-331,3.5%,+/-0.7,"1,292",+/-244,2.5%,+/-0.5
"9th to 12th grade, no diploma","6,297",+/-555,6.3%,+/-0.6,"3,012",+/-400,6.1%,+/-0.8,"3,285",+/-329,6.4%,+/-0.6
High school graduate (includes equivalency),"26,774","+/-1,140",26.6%,+/-1.1,"13,471",+/-767,27.2%,+/-1.5,"13,303",+/-716,26.0%,+/-1.4
"Some college, no degree","21,245","+/-1,102",21.1%,+/-1.1,"10,360",+/-691,20.9%,+/-1.4,"10,885",+/-807,21.2%,+/-1.6
Associate's degree,"7,828",+/-568,7.8%,+/-0.6,"3,574",+/-503,7.2%,+/-1.0,"4,254",+/-376,8.3%,+/-0.7
Bachelor's degree,"19,941",+/-998,19.8%,+/-1.0,"9,041",+/-546,18.3%,+/-1.1,"10,900",+/-658,21.3%,+/-1.3
Graduate or professional degree,"15,581",+/-892,15.5%,+/-0.9,"8,274",+/-553,16.7%,+/-1.1,"7,307",+/-620,14.3%,+/-1.2
Percent high school graduate or higher,(X),(X),90.7%,+/-0.7,(X),(X),90.4%,+/-1.0,(X),(X),91.1%,+/-0.8
Percent bachelor's degree or higher,(X),(X),35.3%,+/-1.3,(X),(X),35.0%,+/-1.5,(X),(X),35.5%,+/-1.5
Population 25 to 34 years,"25,994",+/-76,(X),(X),"13,644",+/-47,(X),(X),"12,350",+/-60,(X),(X)
High school graduate or higher,"24,380",+/-336,93.8%,+/-1.2,"12,673",+/-218,92.9%,+/-1.6,"11,707",+/-211,94.8%,+/-1.6
Bachelor's degree or higher,"10,819",+/-622,41.6%,+/-2.4,"5,392",+/-310,39.5%,+/-2.3,"5,427",+/-479,43.9%,+/-3.9
Population 35 to 44 years,"19,488",+/-178,(X),(X),"9,920",+/-98,(X),(X),"9,568",+/-151,(X),(X)
High school graduate or higher,"17,244",+/-356,88.5%,+/-2.0,"8,638",+/-248,87.1%,+/-2.8,"8,606",+/-221,89.9%,+/-2.1
Bachelor's degree or higher,"6,795",+/-602,34.9%,+/-3.1,"3,312",+/-344,33.4%,+/-3.5,"3,483",+/-351,36.4%,+/-3.7
Population 45 to 64 years,"36,423",+/-202,(X),(X),"17,857",+/-118,(X),(X),"18,566",+/-172,(X),(X)
High school graduate or higher,"33,321",+/-466,91.5%,+/-1.1,"16,160",+/-294,90.5%,+/-1.5,"17,161",+/-288,92.4%,+/-1.3
Bachelor's degree or higher,"12,386",+/-785,34.0%,+/-2.2,"5,872",+/-454,32.9%,+/-2.5,"6,514",+/-440,35.1%,+/-2.4
Population 65 years and over,"18,789",+/-114,(X),(X),"8,047",+/-92,(X),(X),"10,742",+/-90,(X),(X)
High school graduate or higher,"16,424",+/-323,87.4%,+/-1.6,"7,249",+/-220,90.1%,+/-2.2,"9,175",+/-264,85.4%,+/-2.4
Bachelor's degree or higher,"5,522",+/-372,29.4%,+/-2.0,"2,739",+/-256,34.0%,+/-3.2,"2,783",+/-232,25.9%,+/-2.2
