RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"89,456",+/-472,(X),(X),"43,707",+/-293,(X),(X),"45,749",+/-223,(X),(X)
High school graduate or higher,"82,232",+/-696,91.9%,+/-0.7,"40,024",+/-447,91.6%,+/-0.9,"42,208",+/-402,92.3%,+/-0.8
Bachelor's degree or higher,"31,525","+/-1,074",35.2%,+/-1.2,"15,225",+/-720,34.8%,+/-1.7,"16,300",+/-662,35.6%,+/-1.5
"White alone, not Hispanic or Latino","84,617",+/-111,(X),(X),"41,203",+/-54,(X),(X),"43,414",+/-65,(X),(X)
High school graduate or higher,"79,044",+/-522,93.4%,+/-0.6,"38,458",+/-349,93.3%,+/-0.8,"40,586",+/-309,93.5%,+/-0.7
Bachelor's degree or higher,"30,617","+/-1,042",36.2%,+/-1.2,"14,896",+/-699,36.2%,+/-1.7,"15,721",+/-650,36.2%,+/-1.5
Black alone,"4,155",+/-123,(X),(X),"2,058",+/-72,(X),(X),"2,097",+/-109,(X),(X)
High school graduate or higher,"3,831",+/-195,92.2%,+/-3.6,"1,963",+/-97,95.4%,+/-3.6,"1,868",+/-158,89.1%,+/-5.2
Bachelor's degree or higher,787,+/-246,18.9%,+/-6.0,446,+/-173,21.7%,+/-8.5,341,+/-166,16.3%,+/-7.9
American Indian or Alaska Native alone,111,+/-65,(X),(X),65,+/-59,(X),(X),46,+/-32,(X),(X)
High school graduate or higher,54,+/-39,48.6%,+/-29.6,17,+/-22,26.2%,+/-32.6,37,+/-31,80.4%,+/-31.4
Bachelor's degree or higher,0,+/-27,0.0%,+/-23.4,0,+/-27,0.0%,+/-34.9,0,+/-27,0.0%,+/-42.0
Asian alone,"5,935",+/-101,(X),(X),"3,018",+/-65,(X),(X),"2,917",+/-78,(X),(X)
High school graduate or higher,"5,488",+/-167,92.5%,+/-2.8,"2,799",+/-109,92.7%,+/-3.6,"2,689",+/-112,92.2%,+/-3.2
Bachelor's degree or higher,"4,980",+/-251,83.9%,+/-4.4,"2,668",+/-133,88.4%,+/-4.5,"2,312",+/-153,79.3%,+/-5.3
Native Hawaiian and Other Pacific Islander alone,57,+/-50,(X),(X),0,+/-27,(X),(X),57,+/-50,(X),(X)
High school graduate or higher,57,+/-50,100.0%,+/-37.7,0,+/-27,-,**,57,+/-50,100.0%,+/-37.7
Bachelor's degree or higher,0,+/-27,0.0%,+/-37.7,0,+/-27,-,**,0,+/-27,0.0%,+/-37.7
Some other race alone,"1,771",+/-466,(X),(X),975,+/-288,(X),(X),796,+/-216,(X),(X)
High school graduate or higher,"1,068",+/-298,60.3%,+/-11.9,525,+/-185,53.8%,+/-14.9,543,+/-166,68.2%,+/-12.6
Bachelor's degree or higher,197,+/-117,11.1%,+/-7.3,99,+/-66,10.2%,+/-7.1,98,+/-78,12.3%,+/-10.0
Two or more races,"1,076",+/-175,(X),(X),548,+/-115,(X),(X),528,+/-115,(X),(X)
High school graduate or higher,872,+/-162,81.0%,+/-8.6,387,+/-108,70.6%,+/-15.5,485,+/-109,91.9%,+/-7.4
Bachelor's degree or higher,336,+/-105,31.2%,+/-7.7,172,+/-69,31.4%,+/-10.8,164,+/-65,31.1%,+/-10.9
Hispanic or Latino Origin,"6,781",*****,(X),(X),"3,555",*****,(X),(X),"3,226",*****,(X),(X)
High school graduate or higher,"4,360",+/-327,64.3%,+/-4.8,"2,120",+/-225,59.6%,+/-6.3,"2,240",+/-200,69.4%,+/-6.2
Bachelor's degree or higher,"1,130",+/-261,16.7%,+/-3.8,440,+/-140,12.4%,+/-3.9,690,+/-185,21.4%,+/-5.7
