Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,197",+/-52,(X),(X),676,+/-52,(X),(X),521,+/-18,(X),(X)
Less than high school graduate,332,+/-122,27.7%,+/-9.7,192,+/-82,28.4%,+/-11.0,140,+/-63,26.9%,+/-12.0
High school graduate (includes equivalency),338,+/-98,28.2%,+/-8.4,252,+/-86,37.3%,+/-13.2,86,+/-49,16.5%,+/-9.3
Some college or associate's degree,445,+/-110,37.2%,+/-9.3,225,+/-68,33.3%,+/-10.4,220,+/-70,42.2%,+/-13.4
Bachelor's degree or higher,82,+/-45,6.9%,+/-3.8,7,+/-11,1.0%,+/-1.6,75,+/-42,14.4%,+/-8.1
Population 25 years and over,"10,848",+/-81,(X),(X),"5,312",+/-102,(X),(X),"5,536",+/-67,(X),(X)
Less than 9th grade,334,+/-83,3.1%,+/-0.8,113,+/-49,2.1%,+/-0.9,221,+/-69,4.0%,+/-1.2
"9th to 12th grade, no diploma",863,+/-190,8.0%,+/-1.7,483,+/-151,9.1%,+/-2.8,380,+/-106,6.9%,+/-1.9
High school graduate (includes equivalency),"4,557",+/-383,42.0%,+/-3.6,"2,188",+/-246,41.2%,+/-4.6,"2,369",+/-235,42.8%,+/-4.2
"Some college, no degree","1,929",+/-266,17.8%,+/-2.5,970,+/-180,18.3%,+/-3.4,959,+/-178,17.3%,+/-3.2
Associate's degree,857,+/-182,7.9%,+/-1.7,410,+/-127,7.7%,+/-2.4,447,+/-132,8.1%,+/-2.4
Bachelor's degree,"1,515",+/-231,14.0%,+/-2.1,820,+/-161,15.4%,+/-3.0,695,+/-128,12.6%,+/-2.3
Graduate or professional degree,793,+/-177,7.3%,+/-1.6,328,+/-98,6.2%,+/-1.8,465,+/-119,8.4%,+/-2.2
Percent high school graduate or higher,(X),(X),89.0%,+/-1.9,(X),(X),88.8%,+/-2.8,(X),(X),89.1%,+/-2.0
Percent bachelor's degree or higher,(X),(X),21.3%,+/-2.5,(X),(X),21.6%,+/-3.1,(X),(X),21.0%,+/-3.2
Population 25 to 34 years,"1,519",+/-58,(X),(X),821,+/-58,(X),(X),698,+/-18,(X),(X)
High school graduate or higher,"1,361",+/-84,89.6%,+/-5.8,744,+/-39,90.6%,+/-5.9,617,+/-69,88.4%,+/-9.9
Bachelor's degree or higher,371,+/-122,24.4%,+/-8.0,182,+/-83,22.2%,+/-10.0,189,+/-66,27.1%,+/-9.5
Population 35 to 44 years,"1,795",+/-56,(X),(X),876,+/-46,(X),(X),919,+/-43,(X),(X)
High school graduate or higher,"1,707",+/-69,95.1%,+/-3.1,843,+/-51,96.2%,+/-2.5,864,+/-34,94.0%,+/-4.8
Bachelor's degree or higher,412,+/-135,23.0%,+/-7.4,171,+/-79,19.5%,+/-9.0,241,+/-79,26.2%,+/-8.4
Population 45 to 64 years,"4,579",+/-80,(X),(X),"2,309",+/-68,(X),(X),"2,270",+/-49,(X),(X)
High school graduate or higher,"4,221",+/-128,92.2%,+/-2.6,"2,083",+/-109,90.2%,+/-4.6,"2,138",+/-56,94.2%,+/-2.0
Bachelor's degree or higher,937,+/-177,20.5%,+/-3.8,510,+/-129,22.1%,+/-5.5,427,+/-96,18.8%,+/-4.2
Population 65 years and over,"2,955",+/-25,(X),(X),"1,306",+/-18,(X),(X),"1,649",+/-25,(X),(X)
High school graduate or higher,"2,362",+/-132,79.9%,+/-4.4,"1,046",+/-86,80.1%,+/-6.6,"1,316",+/-87,79.8%,+/-5.0
Bachelor's degree or higher,588,+/-126,19.9%,+/-4.2,285,+/-84,21.8%,+/-6.4,303,+/-88,18.4%,+/-5.3
