RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"10,513",+/-63,(X),(X),"5,110",+/-51,(X),(X),"5,403",+/-27,(X),(X)
High school graduate or higher,"9,491",+/-193,90.3%,+/-1.8,"4,608",+/-137,90.2%,+/-2.5,"4,883",+/-116,90.4%,+/-2.0
Bachelor's degree or higher,"2,243",+/-273,21.3%,+/-2.6,"1,105",+/-156,21.6%,+/-3.1,"1,138",+/-178,21.1%,+/-3.3
"White alone, not Hispanic or Latino","10,434",+/-18,(X),(X),"5,057",+/-18,(X),(X),"5,377",+/-18,(X),(X)
High school graduate or higher,"9,432",+/-194,90.4%,+/-1.9,"4,561",+/-130,90.2%,+/-2.6,"4,871",+/-114,90.6%,+/-2.1
Bachelor's degree or higher,"2,243",+/-273,21.5%,+/-2.6,"1,105",+/-156,21.9%,+/-3.1,"1,138",+/-178,21.2%,+/-3.3
Black alone,28,+/-26,(X),(X),20,+/-20,(X),(X),8,+/-17,(X),(X)
High school graduate or higher,27,+/-26,96.4%,+/-16.0,19,+/-20,95.0%,+/-22.7,8,+/-17,100.0%,+/-100.0
Bachelor's degree or higher,8,+/-17,28.6%,+/-53.3,0,+/-18,0.0%,+/-63.7,8,+/-17,100.0%,+/-100.0
American Indian or Alaska Native alone,3,+/-4,(X),(X),0,+/-18,(X),(X),3,+/-4,(X),(X)
High school graduate or higher,3,+/-4,100.0%,+/-100.0,0,+/-18,-,**,3,+/-4,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Asian alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Native Hawaiian and Other Pacific Islander alone,39,+/-57,(X),(X),39,+/-57,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,39,+/-57,100.0%,+/-45.6,39,+/-57,100.0%,+/-45.6,0,+/-18,-,**
Bachelor's degree or higher,17,+/-25,43.6%,+/-8.3,17,+/-25,43.6%,+/-8.3,0,+/-18,-,**
Some other race alone,149,+/-96,(X),(X),68,+/-76,(X),(X),81,+/-59,(X),(X)
High school graduate or higher,0,+/-18,0.0%,+/-18.1,0,+/-18,0.0%,+/-33.9,0,+/-18,0.0%,+/-30.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-18.1,0,+/-18,0.0%,+/-33.9,0,+/-18,0.0%,+/-30.0
Two or more races,116,+/-66,(X),(X),75,+/-61,(X),(X),41,+/-41,(X),(X)
High school graduate or higher,91,+/-57,78.4%,+/-30.8,50,+/-46,66.7%,+/-43.8,41,+/-41,100.0%,+/-44.5
Bachelor's degree or higher,40,+/-42,34.5%,+/-33.0,26,+/-38,34.7%,+/-42.2,14,+/-23,34.1%,+/-55.6
Hispanic or Latino Origin,231,+/-49,(X),(X),121,+/-74,(X),(X),110,+/-50,(X),(X)
High school graduate or higher,62,+/-55,26.8%,+/-27.1,47,+/-50,38.8%,+/-43.7,15,+/-18,13.6%,+/-18.5
Bachelor's degree or higher,0,+/-18,0.0%,+/-12.2,0,+/-18,0.0%,+/-21.7,0,+/-18,0.0%,+/-23.6
