Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"31,131,484","+/-9,757",(X),(X),"15,968,535","+/-6,457",(X),(X),"15,162,949","+/-5,690",(X),(X)
Less than high school graduate,"4,169,856","+/-19,696",13.4%,+/-0.1,"2,443,565","+/-12,380",15.3%,+/-0.1,"1,726,291","+/-11,040",11.4%,+/-0.1
High school graduate (includes equivalency),"9,479,784","+/-19,611",30.5%,+/-0.1,"5,349,763","+/-14,771",33.5%,+/-0.1,"4,130,021","+/-12,739",27.2%,+/-0.1
Some college or associate's degree,"14,222,740","+/-26,679",45.7%,+/-0.1,"6,811,143","+/-16,019",42.7%,+/-0.1,"7,411,597","+/-17,909",48.9%,+/-0.1
Bachelor's degree or higher,"3,259,104","+/-22,968",10.5%,+/-0.1,"1,364,064","+/-11,745",8.5%,+/-0.1,"1,895,040","+/-14,523",12.5%,+/-0.1
Population 25 years and over,"216,271,644","+/-15,647",(X),(X),"104,439,779","+/-9,686",(X),(X),"111,831,865","+/-8,096",(X),(X)
Less than 9th grade,"11,759,554","+/-62,524",5.4%,+/-0.1,"5,841,576","+/-31,684",5.6%,+/-0.1,"5,917,978","+/-34,167",5.3%,+/-0.1
"9th to 12th grade, no diploma","15,677,560","+/-71,415",7.2%,+/-0.1,"8,131,069","+/-37,699",7.8%,+/-0.1,"7,546,491","+/-37,895",6.7%,+/-0.1
High school graduate (includes equivalency),"59,093,612","+/-208,321",27.3%,+/-0.1,"29,384,349","+/-111,334",28.1%,+/-0.1,"29,709,263","+/-101,425",26.6%,+/-0.1
"Some college, no degree","44,935,834","+/-45,389",20.8%,+/-0.1,"21,415,019","+/-31,606",20.5%,+/-0.1,"23,520,815","+/-28,545",21.0%,+/-0.1
Associate's degree,"17,917,481","+/-47,238",8.3%,+/-0.1,"7,696,077","+/-24,880",7.4%,+/-0.1,"10,221,404","+/-28,707",9.1%,+/-0.1
Bachelor's degree,"41,377,068","+/-151,706",19.1%,+/-0.1,"19,703,458","+/-77,952",18.9%,+/-0.1,"21,673,610","+/-79,179",19.4%,+/-0.1
Graduate or professional degree,"25,510,535","+/-161,591",11.8%,+/-0.1,"12,268,231","+/-78,986",11.7%,+/-0.1,"13,242,304","+/-85,271",11.8%,+/-0.1
Percent high school graduate or higher,(X),(X),87.3%,+/-0.1,(X),(X),86.6%,+/-0.1,(X),(X),88.0%,+/-0.1
Percent bachelor's degree or higher,(X),(X),30.9%,+/-0.1,(X),(X),30.6%,+/-0.1,(X),(X),31.2%,+/-0.1
Population 25 to 34 years,"44,044,173","+/-7,758",(X),(X),"22,256,013","+/-6,337",(X),(X),"21,788,160","+/-4,307",(X),(X)
High school graduate or higher,"39,544,696","+/-32,448",89.8%,+/-0.1,"19,648,202","+/-18,132",88.3%,+/-0.1,"19,896,494","+/-18,524",91.3%,+/-0.1
Bachelor's degree or higher,"15,161,512","+/-91,478",34.4%,+/-0.2,"6,774,778","+/-42,094",30.4%,+/-0.2,"8,386,734","+/-51,612",38.5%,+/-0.2
Population 35 to 44 years,"40,656,419","+/-7,693",(X),(X),"20,243,714","+/-5,288",(X),(X),"20,412,705","+/-4,883",(X),(X)
High school graduate or higher,"35,808,169","+/-35,667",88.1%,+/-0.1,"17,551,574","+/-19,542",86.7%,+/-0.1,"18,256,595","+/-18,561",89.4%,+/-0.1
Bachelor's degree or higher,"14,148,668","+/-97,070",34.8%,+/-0.2,"6,432,386","+/-48,020",31.8%,+/-0.2,"7,716,282","+/-51,481",37.8%,+/-0.3
Population 45 to 64 years,"83,838,663","+/-9,732",(X),(X),"40,884,744","+/-6,012",(X),(X),"42,953,919","+/-5,510",(X),(X)
High school graduate or higher,"73,955,849","+/-56,980",88.2%,+/-0.1,"35,635,920","+/-29,958",87.2%,+/-0.1,"38,319,929","+/-30,007",89.2%,+/-0.1
Bachelor's degree or higher,"25,210,468","+/-103,592",30.1%,+/-0.1,"12,126,465","+/-53,109",29.7%,+/-0.1,"13,084,003","+/-52,924",30.5%,+/-0.1
Population 65 years and over,"47,732,389","+/-4,845",(X),(X),"21,055,308","+/-2,999",(X),(X),"26,677,081","+/-2,988",(X),(X)
High school graduate or higher,"39,525,816","+/-31,284",82.8%,+/-0.1,"17,631,438","+/-16,340",83.7%,+/-0.1,"21,894,378","+/-18,229",82.1%,+/-0.1
Bachelor's degree or higher,"12,366,955","+/-27,944",25.9%,+/-0.1,"6,638,060","+/-18,170",31.5%,+/-0.1,"5,728,895","+/-13,232",21.5%,+/-0.1
