RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"4,866",+/-10,(X),(X),"2,327",+/-10,(X),(X),"2,539",+/-16,(X),(X)
High school graduate or higher,"4,288",+/-119,88.1%,+/-2.4,"2,003",+/-78,86.1%,+/-3.3,"2,285",+/-76,90.0%,+/-3.0
Bachelor's degree or higher,924,+/-144,19.0%,+/-3.0,356,+/-89,15.3%,+/-3.8,568,+/-109,22.4%,+/-4.3
"White alone, not Hispanic or Latino","4,860",+/-16,(X),(X),"2,321",+/-16,(X),(X),"2,539",+/-16,(X),(X)
High school graduate or higher,"4,282",+/-118,88.1%,+/-2.4,"1,997",+/-78,86.0%,+/-3.3,"2,285",+/-76,90.0%,+/-3.0
Bachelor's degree or higher,924,+/-144,19.0%,+/-3.0,356,+/-89,15.3%,+/-3.8,568,+/-109,22.4%,+/-4.3
Black alone,8,+/-10,(X),(X),4,+/-7,(X),(X),4,+/-7,(X),(X)
High school graduate or higher,6,+/-9,75.0%,+/-60.2,2,+/-6,50.0%,+/-50.0,4,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0
American Indian or Alaska Native alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Asian alone,44,+/-50,(X),(X),0,+/-16,(X),(X),44,+/-50,(X),(X)
High school graduate or higher,44,+/-50,100.0%,+/-43.0,0,+/-16,-,**,44,+/-50,100.0%,+/-43.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-43.0,0,+/-16,-,**,0,+/-16,0.0%,+/-43.0
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,1,+/-3,(X),(X),0,+/-16,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,1,+/-3,100.0%,+/-100.0,0,+/-16,-,**,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**,0,+/-16,0.0%,+/-100.0
Two or more races,44,+/-46,(X),(X),16,+/-22,(X),(X),28,+/-33,(X),(X)
High school graduate or higher,28,+/-33,63.6%,+/-32.4,0,+/-16,0.0%,+/-71.2,28,+/-33,100.0%,+/-53.8
Bachelor's degree or higher,0,+/-16,0.0%,+/-43.0,0,+/-16,0.0%,+/-71.2,0,+/-16,0.0%,+/-53.8
Hispanic or Latino Origin,7,+/-10,(X),(X),6,+/-10,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,7,+/-10,100.0%,+/-100.0,6,+/-10,100.0%,+/-100.0,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0,0,+/-16,0.0%,+/-100.0
