Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,593,+/-13,(X),(X),325,+/-8,(X),(X),268,+/-14,(X),(X)
Less than high school graduate,151,+/-52,25.5%,+/-8.8,67,+/-24,20.6%,+/-7.3,84,+/-40,31.3%,+/-14.9
High school graduate (includes equivalency),183,+/-61,30.9%,+/-10.1,137,+/-43,42.2%,+/-13.3,46,+/-36,17.2%,+/-13.0
Some college or associate's degree,186,+/-53,31.4%,+/-9.0,53,+/-35,16.3%,+/-10.8,133,+/-40,49.6%,+/-15.2
Bachelor's degree or higher,73,+/-43,12.3%,+/-7.2,68,+/-42,20.9%,+/-12.8,5,+/-6,1.9%,+/-2.4
Population 25 years and over,"4,974",+/-77,(X),(X),"2,353",+/-34,(X),(X),"2,621",+/-62,(X),(X)
Less than 9th grade,139,+/-52,2.8%,+/-1.1,99,+/-43,4.2%,+/-1.8,40,+/-28,1.5%,+/-1.1
"9th to 12th grade, no diploma",450,+/-112,9.0%,+/-2.2,241,+/-89,10.2%,+/-3.7,209,+/-74,8.0%,+/-2.8
High school graduate (includes equivalency),"2,221",+/-168,44.7%,+/-3.3,"1,082",+/-98,46.0%,+/-4.2,"1,139",+/-125,43.5%,+/-4.6
"Some college, no degree",925,+/-142,18.6%,+/-2.8,402,+/-91,17.1%,+/-3.9,523,+/-102,20.0%,+/-3.8
Associate's degree,316,+/-91,6.4%,+/-1.8,135,+/-57,5.7%,+/-2.4,181,+/-68,6.9%,+/-2.6
Bachelor's degree,576,+/-129,11.6%,+/-2.6,236,+/-82,10.0%,+/-3.5,340,+/-90,13.0%,+/-3.4
Graduate or professional degree,347,+/-103,7.0%,+/-2.1,158,+/-53,6.7%,+/-2.3,189,+/-77,7.2%,+/-3.0
Percent high school graduate or higher,(X),(X),88.2%,+/-2.5,(X),(X),85.6%,+/-4.2,(X),(X),90.5%,+/-3.0
Percent bachelor's degree or higher,(X),(X),18.6%,+/-3.3,(X),(X),16.7%,+/-3.7,(X),(X),20.2%,+/-4.5
Population 25 to 34 years,725,+/-30,(X),(X),352,+/-29,(X),(X),373,+/-9,(X),(X)
High school graduate or higher,670,+/-29,92.4%,+/-5.4,321,+/-15,91.2%,+/-9.1,349,+/-24,93.6%,+/-5.7
Bachelor's degree or higher,138,+/-57,19.0%,+/-7.8,61,+/-33,17.3%,+/-9.2,77,+/-39,20.6%,+/-10.6
Population 35 to 44 years,861,+/-21,(X),(X),406,+/-8,(X),(X),455,+/-20,(X),(X)
High school graduate or higher,758,+/-71,88.0%,+/-7.4,339,+/-48,83.5%,+/-11.8,419,+/-43,92.1%,+/-7.4
Bachelor's degree or higher,100,+/-47,11.6%,+/-5.4,17,+/-16,4.2%,+/-4.1,83,+/-37,18.2%,+/-8.1
Population 45 to 64 years,"2,131",+/-43,(X),(X),"1,042",+/-16,(X),(X),"1,089",+/-43,(X),(X)
High school graduate or higher,"1,970",+/-76,92.4%,+/-3.1,963,+/-42,92.4%,+/-4.0,"1,007",+/-60,92.5%,+/-4.4
Bachelor's degree or higher,420,+/-108,19.7%,+/-5.1,145,+/-55,13.9%,+/-5.3,275,+/-80,25.3%,+/-7.5
Population 65 years and over,"1,257",+/-45,(X),(X),553,+/-15,(X),(X),704,+/-42,(X),(X)
High school graduate or higher,987,+/-85,78.5%,+/-6.1,390,+/-61,70.5%,+/-11.6,597,+/-63,84.8%,+/-7.0
Bachelor's degree or higher,265,+/-69,21.1%,+/-5.5,171,+/-59,30.9%,+/-10.7,94,+/-44,13.4%,+/-6.2
