Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"19,689",+/-152,(X),(X),"9,306",+/-121,(X),(X),"10,383",+/-78,(X),(X)
Less than high school graduate,"2,593",+/-363,13.2%,+/-1.9,"1,446",+/-249,15.5%,+/-2.7,"1,147",+/-219,11.0%,+/-2.1
High school graduate (includes equivalency),"5,890",+/-469,29.9%,+/-2.4,"3,064",+/-301,32.9%,+/-3.2,"2,826",+/-331,27.2%,+/-3.2
Some college or associate's degree,"9,479",+/-521,48.1%,+/-2.6,"4,021",+/-321,43.2%,+/-3.4,"5,458",+/-391,52.6%,+/-3.7
Bachelor's degree or higher,"1,727",+/-254,8.8%,+/-1.3,775,+/-176,8.3%,+/-1.9,952,+/-195,9.2%,+/-1.9
Population 25 years and over,"121,733",+/-148,(X),(X),"57,991",+/-117,(X),(X),"63,742",+/-75,(X),(X)
Less than 9th grade,"3,525",+/-363,2.9%,+/-0.3,"1,643",+/-202,2.8%,+/-0.3,"1,882",+/-289,3.0%,+/-0.5
"9th to 12th grade, no diploma","8,733",+/-648,7.2%,+/-0.5,"4,332",+/-406,7.5%,+/-0.7,"4,401",+/-423,6.9%,+/-0.7
High school graduate (includes equivalency),"41,949","+/-1,153",34.5%,+/-0.9,"20,299",+/-736,35.0%,+/-1.3,"21,650",+/-744,34.0%,+/-1.2
"Some college, no degree","28,190",+/-988,23.2%,+/-0.8,"13,415",+/-679,23.1%,+/-1.2,"14,775",+/-674,23.2%,+/-1.1
Associate's degree,"9,921",+/-595,8.1%,+/-0.5,"4,504",+/-402,7.8%,+/-0.7,"5,417",+/-437,8.5%,+/-0.7
Bachelor's degree,"19,180",+/-916,15.8%,+/-0.8,"9,124",+/-561,15.7%,+/-1.0,"10,056",+/-636,15.8%,+/-1.0
Graduate or professional degree,"10,235",+/-710,8.4%,+/-0.6,"4,674",+/-402,8.1%,+/-0.7,"5,561",+/-538,8.7%,+/-0.8
Percent high school graduate or higher,(X),(X),89.9%,+/-0.6,(X),(X),89.7%,+/-0.8,(X),(X),90.1%,+/-0.7
Percent bachelor's degree or higher,(X),(X),24.2%,+/-0.9,(X),(X),23.8%,+/-1.2,(X),(X),24.5%,+/-1.2
Population 25 to 34 years,"25,381",+/-240,(X),(X),"12,638",+/-193,(X),(X),"12,743",+/-181,(X),(X)
High school graduate or higher,"23,302",+/-362,91.8%,+/-1.2,"11,531",+/-271,91.2%,+/-1.5,"11,771",+/-219,92.4%,+/-1.8
Bachelor's degree or higher,"7,179",+/-547,28.3%,+/-2.1,"3,015",+/-312,23.9%,+/-2.4,"4,164",+/-420,32.7%,+/-3.3
Population 35 to 44 years,"20,787",+/-249,(X),(X),"10,386",+/-139,(X),(X),"10,401",+/-157,(X),(X)
High school graduate or higher,"18,929",+/-362,91.1%,+/-1.3,"9,471",+/-202,91.2%,+/-1.6,"9,458",+/-256,90.9%,+/-2.0
Bachelor's degree or higher,"6,013",+/-404,28.9%,+/-1.9,"2,590",+/-255,24.9%,+/-2.5,"3,423",+/-292,32.9%,+/-2.7
Population 45 to 64 years,"48,458",+/-213,(X),(X),"23,752",+/-192,(X),(X),"24,706",+/-147,(X),(X)
High school graduate or higher,"44,341",+/-406,91.5%,+/-0.8,"21,620",+/-289,91.0%,+/-1.2,"22,721",+/-270,92.0%,+/-1.0
Bachelor's degree or higher,"11,375",+/-642,23.5%,+/-1.3,"5,436",+/-397,22.9%,+/-1.6,"5,939",+/-412,24.0%,+/-1.7
Population 65 years and over,"27,107",+/-113,(X),(X),"11,215",+/-60,(X),(X),"15,892",+/-80,(X),(X)
High school graduate or higher,"22,903",+/-371,84.5%,+/-1.4,"9,394",+/-221,83.8%,+/-1.9,"13,509",+/-265,85.0%,+/-1.7
Bachelor's degree or higher,"4,848",+/-415,17.9%,+/-1.5,"2,757",+/-282,24.6%,+/-2.5,"2,091",+/-264,13.2%,+/-1.7
