RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"109,436",+/-221,(X),(X),"52,151",+/-154,(X),(X),"57,285",+/-105,(X),(X)
High school graduate or higher,"98,658",+/-815,90.2%,+/-0.7,"46,947",+/-513,90.0%,+/-1.0,"51,711",+/-536,90.3%,+/-0.9
Bachelor's degree or higher,"29,746","+/-1,171",27.2%,+/-1.1,"14,010",+/-669,26.9%,+/-1.3,"15,736",+/-751,27.5%,+/-1.3
"White alone, not Hispanic or Latino","108,147",+/-16,(X),(X),"51,468",+/-27,(X),(X),"56,679",+/-16,(X),(X)
High school graduate or higher,"97,758",+/-780,90.4%,+/-0.7,"46,470",+/-496,90.3%,+/-1.0,"51,288",+/-511,90.5%,+/-0.9
Bachelor's degree or higher,"29,432","+/-1,154",27.2%,+/-1.1,"13,836",+/-655,26.9%,+/-1.3,"15,596",+/-752,27.5%,+/-1.3
Black alone,"9,973",+/-202,(X),(X),"4,739",+/-159,(X),(X),"5,234",+/-116,(X),(X)
High school graduate or higher,"8,386",+/-394,84.1%,+/-3.3,"3,953",+/-265,83.4%,+/-4.5,"4,433",+/-203,84.7%,+/-3.4
Bachelor's degree or higher,"1,370",+/-246,13.7%,+/-2.4,486,+/-139,10.3%,+/-2.8,884,+/-173,16.9%,+/-3.3
American Indian or Alaska Native alone,253,+/-98,(X),(X),107,+/-76,(X),(X),146,+/-65,(X),(X)
High school graduate or higher,228,+/-99,90.1%,+/-14.1,107,+/-76,100.0%,+/-24.1,121,+/-57,82.9%,+/-22.4
Bachelor's degree or higher,52,+/-55,20.6%,+/-21.1,52,+/-55,48.6%,+/-46.9,0,+/-27,0.0%,+/-18.5
Asian alone,"1,482",+/-148,(X),(X),695,+/-75,(X),(X),787,+/-101,(X),(X)
High school graduate or higher,"1,368",+/-192,92.3%,+/-7.0,663,+/-93,95.4%,+/-5.9,705,+/-122,89.6%,+/-9.5
Bachelor's degree or higher,704,+/-155,47.5%,+/-9.8,407,+/-95,58.6%,+/-13.2,297,+/-109,37.7%,+/-13.6
Native Hawaiian and Other Pacific Islander alone,117,+/-33,(X),(X),45,+/-24,(X),(X),72,+/-30,(X),(X)
High school graduate or higher,117,+/-33,100.0%,+/-22.4,45,+/-24,100.0%,+/-42.5,72,+/-30,100.0%,+/-32.7
Bachelor's degree or higher,7,+/-16,6.0%,+/-14.1,0,+/-27,0.0%,+/-42.5,7,+/-16,9.7%,+/-20.1
Some other race alone,764,+/-216,(X),(X),408,+/-154,(X),(X),356,+/-110,(X),(X)
High school graduate or higher,366,+/-156,47.9%,+/-17.6,198,+/-110,48.5%,+/-21.3,168,+/-80,47.2%,+/-18.7
Bachelor's degree or higher,67,+/-49,8.8%,+/-7.0,25,+/-29,6.1%,+/-7.5,42,+/-42,11.8%,+/-11.9
Two or more races,"1,232",+/-228,(X),(X),559,+/-176,(X),(X),673,+/-141,(X),(X)
High school graduate or higher,"1,154",+/-218,93.7%,+/-4.5,524,+/-172,93.7%,+/-7.8,630,+/-135,93.6%,+/-5.0
Bachelor's degree or higher,325,+/-124,26.4%,+/-8.6,113,+/-86,20.2%,+/-14.7,212,+/-96,31.5%,+/-12.1
Hispanic or Latino Origin,"2,177",*****,(X),(X),"1,166",*****,(X),(X),"1,011",*****,(X),(X)
High school graduate or higher,"1,381",+/-243,63.4%,+/-11.2,750,+/-151,64.3%,+/-13.0,631,+/-119,62.4%,+/-11.7
Bachelor's degree or higher,394,+/-140,18.1%,+/-6.4,231,+/-106,19.8%,+/-9.1,163,+/-76,16.1%,+/-7.5
