Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,213",+/-28,(X),(X),618,+/-12,(X),(X),595,+/-21,(X),(X)
Less than high school graduate,214,+/-72,17.6%,+/-5.8,146,+/-62,23.6%,+/-9.9,68,+/-37,11.4%,+/-6.2
High school graduate (includes equivalency),427,+/-113,35.2%,+/-9.6,252,+/-76,40.8%,+/-12.3,175,+/-69,29.4%,+/-11.8
Some college or associate's degree,526,+/-123,43.4%,+/-9.9,220,+/-90,35.6%,+/-14.6,306,+/-84,51.4%,+/-13.4
Bachelor's degree or higher,46,+/-55,3.8%,+/-4.5,0,+/-18,0.0%,+/-4.7,46,+/-55,7.7%,+/-9.2
Population 25 years and over,"10,949",+/-45,(X),(X),"5,209",+/-63,(X),(X),"5,740",+/-57,(X),(X)
Less than 9th grade,317,+/-89,2.9%,+/-0.8,195,+/-73,3.7%,+/-1.4,122,+/-47,2.1%,+/-0.8
"9th to 12th grade, no diploma",726,+/-160,6.6%,+/-1.5,287,+/-85,5.5%,+/-1.6,439,+/-126,7.6%,+/-2.2
High school graduate (includes equivalency),"5,054",+/-350,46.2%,+/-3.2,"2,510",+/-231,48.2%,+/-4.5,"2,544",+/-218,44.3%,+/-3.8
"Some college, no degree","2,321",+/-256,21.2%,+/-2.3,"1,248",+/-171,24.0%,+/-3.3,"1,073",+/-153,18.7%,+/-2.7
Associate's degree,"1,109",+/-188,10.1%,+/-1.7,475,+/-103,9.1%,+/-2.0,634,+/-135,11.0%,+/-2.3
Bachelor's degree,985,+/-136,9.0%,+/-1.2,310,+/-91,6.0%,+/-1.7,675,+/-104,11.8%,+/-1.8
Graduate or professional degree,437,+/-96,4.0%,+/-0.9,184,+/-55,3.5%,+/-1.1,253,+/-78,4.4%,+/-1.4
Percent high school graduate or higher,(X),(X),90.5%,+/-1.7,(X),(X),90.7%,+/-2.2,(X),(X),90.2%,+/-2.3
Percent bachelor's degree or higher,(X),(X),13.0%,+/-1.6,(X),(X),9.5%,+/-2.0,(X),(X),16.2%,+/-2.3
Population 25 to 34 years,"1,612",+/-10,(X),(X),807,+/-3,(X),(X),805,+/-10,(X),(X)
High school graduate or higher,"1,512",+/-45,93.8%,+/-2.7,757,+/-31,93.8%,+/-3.8,755,+/-39,93.8%,+/-4.7
Bachelor's degree or higher,273,+/-82,16.9%,+/-5.1,75,+/-40,9.3%,+/-5.0,198,+/-75,24.6%,+/-9.2
Population 35 to 44 years,"1,898",+/-43,(X),(X),923,+/-12,(X),(X),975,+/-41,(X),(X)
High school graduate or higher,"1,784",+/-92,94.0%,+/-4.6,851,+/-46,92.2%,+/-5.0,933,+/-56,95.7%,+/-4.5
Bachelor's degree or higher,327,+/-93,17.2%,+/-5.0,84,+/-45,9.1%,+/-4.9,243,+/-77,24.9%,+/-8.1
Population 45 to 64 years,"4,503",+/-53,(X),(X),"2,179",+/-60,(X),(X),"2,324",+/-51,(X),(X)
High school graduate or higher,"4,078",+/-110,90.6%,+/-2.3,"1,944",+/-95,89.2%,+/-3.7,"2,134",+/-87,91.8%,+/-2.8
Bachelor's degree or higher,585,+/-113,13.0%,+/-2.4,194,+/-64,8.9%,+/-3.0,391,+/-83,16.8%,+/-3.4
Population 65 years and over,"2,936",+/-18,(X),(X),"1,300",+/-14,(X),(X),"1,636",+/-9,(X),(X)
High school graduate or higher,"2,532",+/-91,86.2%,+/-3.0,"1,175",+/-51,90.4%,+/-3.8,"1,357",+/-81,82.9%,+/-4.9
Bachelor's degree or higher,237,+/-72,8.1%,+/-2.4,141,+/-50,10.8%,+/-3.8,96,+/-43,5.9%,+/-2.7
