RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"61,887",+/-185,(X),(X),"30,107",+/-170,(X),(X),"31,780",+/-101,(X),(X)
High school graduate or higher,"54,747",+/-620,88.5%,+/-1.0,"26,784",+/-454,89.0%,+/-1.4,"27,963",+/-431,88.0%,+/-1.3
Bachelor's degree or higher,"14,290",+/-715,23.1%,+/-1.2,"6,852",+/-477,22.8%,+/-1.6,"7,438",+/-436,23.4%,+/-1.4
"White alone, not Hispanic or Latino","61,046",+/-40,(X),(X),"29,511",+/-38,(X),(X),"31,535",+/-18,(X),(X)
High school graduate or higher,"54,078",+/-594,88.6%,+/-1.0,"26,277",+/-426,89.0%,+/-1.4,"27,801",+/-422,88.2%,+/-1.3
Bachelor's degree or higher,"14,192",+/-714,23.2%,+/-1.2,"6,805",+/-468,23.1%,+/-1.6,"7,387",+/-437,23.4%,+/-1.4
Black alone,"4,087",+/-187,(X),(X),"2,730",+/-170,(X),(X),"1,357",+/-96,(X),(X)
High school graduate or higher,"3,210",+/-300,78.5%,+/-5.5,"2,054",+/-239,75.2%,+/-7.0,"1,156",+/-135,85.2%,+/-8.0
Bachelor's degree or higher,672,+/-192,16.4%,+/-4.6,271,+/-124,9.9%,+/-4.5,401,+/-147,29.6%,+/-10.3
American Indian or Alaska Native alone,227,+/-64,(X),(X),167,+/-48,(X),(X),60,+/-31,(X),(X)
High school graduate or higher,137,+/-49,60.4%,+/-24.3,105,+/-46,62.9%,+/-25.3,32,+/-22,53.3%,+/-36.7
Bachelor's degree or higher,4,+/-8,1.8%,+/-4.2,4,+/-8,2.4%,+/-5.7,0,+/-27,0.0%,+/-36.7
Asian alone,"1,116",+/-134,(X),(X),545,+/-112,(X),(X),571,+/-52,(X),(X)
High school graduate or higher,"1,052",+/-127,94.3%,+/-4.0,527,+/-106,96.7%,+/-5.4,525,+/-65,91.9%,+/-6.5
Bachelor's degree or higher,754,+/-142,67.6%,+/-8.4,418,+/-108,76.7%,+/-9.1,336,+/-86,58.8%,+/-12.9
Native Hawaiian and Other Pacific Islander alone,39,+/-50,(X),(X),31,+/-49,(X),(X),8,+/-12,(X),(X)
High school graduate or higher,31,+/-49,79.5%,+/-44.7,31,+/-49,100.0%,+/-51.2,0,+/-27,0.0%,+/-100.0
Bachelor's degree or higher,31,+/-49,79.5%,+/-44.7,31,+/-49,100.0%,+/-51.2,0,+/-27,0.0%,+/-100.0
Some other race alone,566,+/-160,(X),(X),401,+/-126,(X),(X),165,+/-101,(X),(X)
High school graduate or higher,412,+/-158,72.8%,+/-12.1,308,+/-126,76.8%,+/-15.6,104,+/-80,63.0%,+/-19.9
Bachelor's degree or higher,107,+/-113,18.9%,+/-17.0,65,+/-94,16.2%,+/-21.3,42,+/-56,25.5%,+/-31.3
Two or more races,"1,244",+/-251,(X),(X),745,+/-216,(X),(X),499,+/-114,(X),(X)
High school graduate or higher,"1,060",+/-232,85.2%,+/-7.5,651,+/-204,87.4%,+/-10.3,409,+/-113,82.0%,+/-10.1
Bachelor's degree or higher,172,+/-104,13.8%,+/-7.3,42,+/-58,5.6%,+/-7.8,130,+/-84,26.1%,+/-14.6
Hispanic or Latino Origin,"1,538",+/-81,(X),(X),"1,101",+/-100,(X),(X),437,+/-69,(X),(X)
High school graduate or higher,"1,209",+/-135,78.6%,+/-7.8,919,+/-133,83.5%,+/-8.8,290,+/-66,66.4%,+/-11.8
Bachelor's degree or higher,242,+/-124,15.7%,+/-8.0,145,+/-97,13.2%,+/-8.9,97,+/-63,22.2%,+/-13.3
