Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,255",+/-65,(X),(X),"1,667",+/-51,(X),(X),"1,588",+/-53,(X),(X)
Less than high school graduate,507,+/-130,15.6%,+/-4.0,275,+/-82,16.5%,+/-4.9,232,+/-96,14.6%,+/-6.1
High school graduate (includes equivalency),"1,194",+/-151,36.7%,+/-4.6,660,+/-123,39.6%,+/-7.3,534,+/-100,33.6%,+/-6.0
Some college or associate's degree,"1,310",+/-170,40.2%,+/-5.2,584,+/-111,35.0%,+/-6.6,726,+/-99,45.7%,+/-6.2
Bachelor's degree or higher,244,+/-106,7.5%,+/-3.3,148,+/-71,8.9%,+/-4.3,96,+/-67,6.0%,+/-4.2
Population 25 years and over,"21,810",+/-101,(X),(X),"10,424",+/-96,(X),(X),"11,386",+/-91,(X),(X)
Less than 9th grade,663,+/-157,3.0%,+/-0.7,307,+/-96,2.9%,+/-0.9,356,+/-111,3.1%,+/-1.0
"9th to 12th grade, no diploma","1,794",+/-300,8.2%,+/-1.4,794,+/-172,7.6%,+/-1.6,"1,000",+/-202,8.8%,+/-1.8
High school graduate (includes equivalency),"9,157",+/-431,42.0%,+/-2.0,"4,622",+/-309,44.3%,+/-2.9,"4,535",+/-295,39.8%,+/-2.6
"Some college, no degree","4,406",+/-371,20.2%,+/-1.7,"2,272",+/-275,21.8%,+/-2.6,"2,134",+/-213,18.7%,+/-1.9
Associate's degree,"1,708",+/-212,7.8%,+/-1.0,516,+/-112,5.0%,+/-1.1,"1,192",+/-183,10.5%,+/-1.6
Bachelor's degree,"2,388",+/-244,10.9%,+/-1.1,"1,076",+/-149,10.3%,+/-1.4,"1,312",+/-200,11.5%,+/-1.7
Graduate or professional degree,"1,694",+/-297,7.8%,+/-1.4,837,+/-208,8.0%,+/-2.0,857,+/-199,7.5%,+/-1.7
Percent high school graduate or higher,(X),(X),88.7%,+/-1.5,(X),(X),89.4%,+/-1.7,(X),(X),88.1%,+/-2.0
Percent bachelor's degree or higher,(X),(X),18.7%,+/-1.7,(X),(X),18.4%,+/-2.3,(X),(X),19.0%,+/-2.6
Population 25 to 34 years,"3,370",+/-96,(X),(X),"1,707",+/-78,(X),(X),"1,663",+/-65,(X),(X)
High school graduate or higher,"3,143",+/-112,93.3%,+/-2.6,"1,651",+/-82,96.7%,+/-1.9,"1,492",+/-80,89.7%,+/-4.5
Bachelor's degree or higher,704,+/-135,20.9%,+/-4.1,289,+/-97,16.9%,+/-5.6,415,+/-100,25.0%,+/-6.2
Population 35 to 44 years,"3,589",+/-101,(X),(X),"1,770",+/-76,(X),(X),"1,819",+/-66,(X),(X)
High school graduate or higher,"3,244",+/-155,90.4%,+/-4.3,"1,639",+/-96,92.6%,+/-5.1,"1,605",+/-92,88.2%,+/-4.9
Bachelor's degree or higher,776,+/-157,21.6%,+/-4.4,400,+/-119,22.6%,+/-6.5,376,+/-92,20.7%,+/-5.3
Population 45 to 64 years,"8,649",+/-88,(X),(X),"4,311",+/-81,(X),(X),"4,338",+/-45,(X),(X)
High school graduate or higher,"7,811",+/-213,90.3%,+/-2.2,"3,852",+/-144,89.4%,+/-2.9,"3,959",+/-129,91.3%,+/-2.6
Bachelor's degree or higher,"1,310",+/-226,15.1%,+/-2.6,640,+/-170,14.8%,+/-3.9,670,+/-149,15.4%,+/-3.4
Population 65 years and over,"6,202",+/-38,(X),(X),"2,636",+/-26,(X),(X),"3,566",+/-34,(X),(X)
High school graduate or higher,"5,155",+/-195,83.1%,+/-3.1,"2,181",+/-114,82.7%,+/-4.2,"2,974",+/-142,83.4%,+/-3.9
Bachelor's degree or higher,"1,292",+/-211,20.8%,+/-3.4,584,+/-118,22.2%,+/-4.4,708,+/-156,19.9%,+/-4.3
