RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"21,089",+/-69,(X),(X),"10,045",+/-56,(X),(X),"11,044",+/-35,(X),(X)
High school graduate or higher,"18,790",+/-310,89.1%,+/-1.5,"9,004",+/-162,89.6%,+/-1.6,"9,786",+/-221,88.6%,+/-2.0
Bachelor's degree or higher,"4,021",+/-371,19.1%,+/-1.8,"1,887",+/-234,18.8%,+/-2.3,"2,134",+/-297,19.3%,+/-2.7
"White alone, not Hispanic or Latino","20,889",+/-19,(X),(X),"9,895",+/-10,(X),(X),"10,994",+/-9,(X),(X)
High school graduate or higher,"18,615",+/-311,89.1%,+/-1.5,"8,860",+/-162,89.5%,+/-1.6,"9,755",+/-218,88.7%,+/-2.0
Bachelor's degree or higher,"3,972",+/-385,19.0%,+/-1.8,"1,845",+/-230,18.6%,+/-2.3,"2,127",+/-298,19.3%,+/-2.7
Black alone,86,+/-62,(X),(X),43,+/-43,(X),(X),43,+/-35,(X),(X)
High school graduate or higher,66,+/-49,76.7%,+/-23.1,42,+/-42,97.7%,+/-10.3,24,+/-24,55.8%,+/-45.9
Bachelor's degree or higher,0,+/-24,0.0%,+/-28.7,0,+/-24,0.0%,+/-43.5,0,+/-24,0.0%,+/-43.5
American Indian or Alaska Native alone,209,+/-82,(X),(X),135,+/-77,(X),(X),74,+/-58,(X),(X)
High school graduate or higher,184,+/-81,88.0%,+/-11.7,117,+/-75,86.7%,+/-13.8,67,+/-56,90.5%,+/-15.5
Bachelor's degree or higher,20,+/-21,9.6%,+/-9.6,10,+/-17,7.4%,+/-12.2,10,+/-15,13.5%,+/-19.9
Asian alone,37,+/-30,(X),(X),14,+/-15,(X),(X),23,+/-23,(X),(X)
High school graduate or higher,30,+/-25,81.1%,+/-29.3,14,+/-15,100.0%,+/-76.1,16,+/-18,69.6%,+/-44.8
Bachelor's degree or higher,14,+/-15,37.8%,+/-32.3,9,+/-13,64.3%,+/-59.3,5,+/-9,21.7%,+/-39.4
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,199,+/-80,(X),(X),100,+/-51,(X),(X),99,+/-55,(X),(X)
High school graduate or higher,128,+/-59,64.3%,+/-27.1,71,+/-49,71.0%,+/-35.4,57,+/-30,57.6%,+/-30.3
Bachelor's degree or higher,12,+/-17,6.0%,+/-10.0,0,+/-24,0.0%,+/-25.5,12,+/-17,12.1%,+/-23.2
Two or more races,190,+/-78,(X),(X),87,+/-46,(X),(X),103,+/-51,(X),(X)
High school graduate or higher,155,+/-73,81.6%,+/-16.4,75,+/-45,86.2%,+/-16.7,80,+/-43,77.7%,+/-26.3
Bachelor's degree or higher,15,+/-17,7.9%,+/-9.8,7,+/-12,8.0%,+/-14.0,8,+/-13,7.8%,+/-13.0
Hispanic or Latino Origin,392,+/-41,(X),(X),249,+/-32,(X),(X),143,+/-42,(X),(X)
High school graduate or higher,291,+/-52,74.2%,+/-13.7,209,+/-40,83.9%,+/-14.2,82,+/-36,57.3%,+/-21.8
Bachelor's degree or higher,61,+/-60,15.6%,+/-14.9,42,+/-52,16.9%,+/-20.3,19,+/-22,13.3%,+/-16.4
