Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,583,+/-9,(X),(X),304,+/-9,(X),(X),279,+/-2,(X),(X)
Less than high school graduate,110,+/-60,18.9%,+/-10.3,71,+/-36,23.4%,+/-11.9,39,+/-35,14.0%,+/-12.4
High school graduate (includes equivalency),178,+/-58,30.5%,+/-9.9,91,+/-45,29.9%,+/-14.6,87,+/-32,31.2%,+/-11.6
Some college or associate's degree,255,+/-58,43.7%,+/-10.0,132,+/-41,43.4%,+/-13.7,123,+/-43,44.1%,+/-15.4
Bachelor's degree or higher,40,+/-32,6.9%,+/-5.6,10,+/-12,3.3%,+/-3.9,30,+/-29,10.8%,+/-10.4
Population 25 years and over,"5,870",+/-32,(X),(X),"2,908",+/-37,(X),(X),"2,962",+/-18,(X),(X)
Less than 9th grade,170,+/-60,2.9%,+/-1.0,116,+/-51,4.0%,+/-1.7,54,+/-27,1.8%,+/-0.9
"9th to 12th grade, no diploma",360,+/-82,6.1%,+/-1.4,201,+/-55,6.9%,+/-1.9,159,+/-52,5.4%,+/-1.7
High school graduate (includes equivalency),"2,591",+/-179,44.1%,+/-3.0,"1,270",+/-113,43.7%,+/-3.8,"1,321",+/-138,44.6%,+/-4.7
"Some college, no degree",965,+/-121,16.4%,+/-2.1,468,+/-92,16.1%,+/-3.2,497,+/-103,16.8%,+/-3.5
Associate's degree,647,+/-121,11.0%,+/-2.1,229,+/-68,7.9%,+/-2.3,418,+/-87,14.1%,+/-2.9
Bachelor's degree,767,+/-147,13.1%,+/-2.5,467,+/-104,16.1%,+/-3.6,300,+/-83,10.1%,+/-2.8
Graduate or professional degree,370,+/-81,6.3%,+/-1.4,157,+/-48,5.4%,+/-1.6,213,+/-66,7.2%,+/-2.2
Percent high school graduate or higher,(X),(X),91.0%,+/-1.9,(X),(X),89.1%,+/-2.7,(X),(X),92.8%,+/-2.2
Percent bachelor's degree or higher,(X),(X),19.4%,+/-3.0,(X),(X),21.5%,+/-3.9,(X),(X),17.3%,+/-3.6
Population 25 to 34 years,849,+/-27,(X),(X),409,+/-11,(X),(X),440,+/-25,(X),(X)
High school graduate or higher,782,+/-36,92.1%,+/-3.6,365,+/-22,89.2%,+/-5.9,417,+/-26,94.8%,+/-3.4
Bachelor's degree or higher,127,+/-54,15.0%,+/-6.3,59,+/-33,14.4%,+/-8.2,68,+/-33,15.5%,+/-7.5
Population 35 to 44 years,934,+/-17,(X),(X),472,+/-9,(X),(X),462,+/-15,(X),(X)
High school graduate or higher,891,+/-29,95.4%,+/-2.7,443,+/-15,93.9%,+/-3.5,448,+/-22,97.0%,+/-3.1
Bachelor's degree or higher,226,+/-91,24.2%,+/-9.7,115,+/-49,24.4%,+/-10.4,111,+/-54,24.0%,+/-11.5
Population 45 to 64 years,"2,490",+/-33,(X),(X),"1,289",+/-34,(X),(X),"1,201",+/-10,(X),(X)
High school graduate or higher,"2,290",+/-66,92.0%,+/-2.9,"1,145",+/-54,88.8%,+/-4.7,"1,145",+/-33,95.3%,+/-2.6
Bachelor's degree or higher,482,+/-105,19.4%,+/-4.2,264,+/-71,20.5%,+/-5.5,218,+/-72,18.2%,+/-6.0
Population 65 years and over,"1,597",+/-20,(X),(X),738,+/-15,(X),(X),859,+/-13,(X),(X)
High school graduate or higher,"1,377",+/-68,86.2%,+/-4.2,638,+/-41,86.4%,+/-5.1,739,+/-45,86.0%,+/-5.5
Bachelor's degree or higher,302,+/-78,18.9%,+/-4.8,186,+/-60,25.2%,+/-7.9,116,+/-41,13.5%,+/-4.8
