RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"5,760",+/-14,(X),(X),"2,849",+/-18,(X),(X),"2,911",+/-15,(X),(X)
High school graduate or higher,"5,265",+/-106,91.4%,+/-1.9,"2,565",+/-74,90.0%,+/-2.6,"2,700",+/-66,92.8%,+/-2.2
Bachelor's degree or higher,"1,116",+/-167,19.4%,+/-2.9,608,+/-108,21.3%,+/-3.8,508,+/-105,17.5%,+/-3.6
"White alone, not Hispanic or Latino","5,697",+/-12,(X),(X),"2,818",+/-12,(X),(X),"2,879",+/-16,(X),(X)
High school graduate or higher,"5,243",+/-99,92.0%,+/-1.7,"2,556",+/-72,90.7%,+/-2.5,"2,687",+/-61,93.3%,+/-2.1
Bachelor's degree or higher,"1,114",+/-167,19.6%,+/-2.9,606,+/-108,21.5%,+/-3.8,508,+/-105,17.6%,+/-3.6
Black alone,39,+/-26,(X),(X),10,+/-14,(X),(X),29,+/-22,(X),(X)
High school graduate or higher,29,+/-22,74.4%,+/-32.3,0,+/-16,0.0%,+/-90.1,29,+/-22,100.0%,+/-52.9
Bachelor's degree or higher,3,+/-8,7.7%,+/-23.7,0,+/-16,0.0%,+/-90.1,3,+/-8,10.3%,+/-34.0
American Indian or Alaska Native alone,20,+/-27,(X),(X),20,+/-27,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,0.0%,+/-63.7,0,+/-16,0.0%,+/-63.7,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,0.0%,+/-63.7,0,+/-16,0.0%,+/-63.7,0,+/-16,-,**
Asian alone,1,+/-2,(X),(X),0,+/-16,(X),(X),1,+/-2,(X),(X)
High school graduate or higher,1,+/-2,100.0%,+/-100.0,0,+/-16,-,**,1,+/-2,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**,0,+/-16,0.0%,+/-100.0
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,9,+/-12,(X),(X),9,+/-12,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,8,+/-12,88.9%,+/-39.3,8,+/-12,88.9%,+/-39.3,0,+/-16,-,**
Bachelor's degree or higher,8,+/-12,88.9%,+/-39.3,8,+/-12,88.9%,+/-39.3,0,+/-16,-,**
Two or more races,41,+/-27,(X),(X),20,+/-20,(X),(X),21,+/-17,(X),(X)
High school graduate or higher,37,+/-25,90.2%,+/-12.3,18,+/-19,90.0%,+/-19.2,19,+/-16,90.5%,+/-15.9
Bachelor's degree or higher,10,+/-14,24.4%,+/-30.0,8,+/-14,40.0%,+/-50.1,2,+/-5,9.5%,+/-23.8
Hispanic or Latino Origin,64,+/-9,(X),(X),32,+/-16,(X),(X),32,+/-15,(X),(X)
High school graduate or higher,22,+/-22,34.4%,+/-37.2,9,+/-11,28.1%,+/-40.7,13,+/-18,40.6%,+/-41.3
Bachelor's degree or higher,2,+/-4,3.1%,+/-5.9,2,+/-4,6.3%,+/-11.9,0,+/-16,0.0%,+/-50.4
