Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,488",+/-112,(X),(X),"2,315",+/-65,(X),(X),"2,173",+/-94,(X),(X)
Less than high school graduate,798,+/-175,17.8%,+/-3.8,522,+/-155,22.5%,+/-6.5,276,+/-97,12.7%,+/-4.4
High school graduate (includes equivalency),"1,570",+/-222,35.0%,+/-4.9,977,+/-197,42.2%,+/-8.4,593,+/-154,27.3%,+/-6.7
Some college or associate's degree,"1,668",+/-256,37.2%,+/-5.7,656,+/-179,28.3%,+/-7.8,"1,012",+/-174,46.6%,+/-8.4
Bachelor's degree or higher,452,+/-167,10.1%,+/-3.7,160,+/-101,6.9%,+/-4.4,292,+/-117,13.4%,+/-5.3
Population 25 years and over,"41,987",+/-115,(X),(X),"20,389",+/-124,(X),(X),"21,598",+/-123,(X),(X)
Less than 9th grade,787,+/-205,1.9%,+/-0.5,498,+/-138,2.4%,+/-0.7,289,+/-123,1.3%,+/-0.6
"9th to 12th grade, no diploma","2,156",+/-282,5.1%,+/-0.7,"1,098",+/-199,5.4%,+/-1.0,"1,058",+/-200,4.9%,+/-0.9
High school graduate (includes equivalency),"13,419",+/-751,32.0%,+/-1.8,"6,373",+/-512,31.3%,+/-2.5,"7,046",+/-457,32.6%,+/-2.1
"Some college, no degree","9,190",+/-642,21.9%,+/-1.5,"4,463",+/-415,21.9%,+/-2.0,"4,727",+/-491,21.9%,+/-2.3
Associate's degree,"4,163",+/-452,9.9%,+/-1.1,"1,915",+/-262,9.4%,+/-1.3,"2,248",+/-348,10.4%,+/-1.6
Bachelor's degree,"7,662",+/-634,18.2%,+/-1.5,"3,739",+/-444,18.3%,+/-2.2,"3,923",+/-411,18.2%,+/-1.9
Graduate or professional degree,"4,610",+/-496,11.0%,+/-1.2,"2,303",+/-282,11.3%,+/-1.4,"2,307",+/-325,10.7%,+/-1.5
Percent high school graduate or higher,(X),(X),93.0%,+/-0.9,(X),(X),92.2%,+/-1.2,(X),(X),93.8%,+/-1.0
Percent bachelor's degree or higher,(X),(X),29.2%,+/-1.8,(X),(X),29.6%,+/-2.3,(X),(X),28.8%,+/-2.2
Population 25 to 34 years,"6,831",+/-163,(X),(X),"3,534",+/-141,(X),(X),"3,297",+/-66,(X),(X)
High school graduate or higher,"6,535",+/-199,95.7%,+/-1.5,"3,307",+/-172,93.6%,+/-2.8,"3,228",+/-86,97.9%,+/-1.4
Bachelor's degree or higher,"2,393",+/-344,35.0%,+/-4.8,981,+/-237,27.8%,+/-6.3,"1,412",+/-226,42.8%,+/-6.7
Population 35 to 44 years,"7,952",+/-172,(X),(X),"3,929",+/-94,(X),(X),"4,023",+/-108,(X),(X)
High school graduate or higher,"7,573",+/-212,95.2%,+/-2.0,"3,684",+/-119,93.8%,+/-2.7,"3,889",+/-130,96.7%,+/-2.0
Bachelor's degree or higher,"2,741",+/-375,34.5%,+/-4.8,"1,276",+/-236,32.5%,+/-6.0,"1,465",+/-219,36.4%,+/-5.5
Population 45 to 64 years,"17,299",+/-222,(X),(X),"8,434",+/-159,(X),(X),"8,865",+/-128,(X),(X)
High school graduate or higher,"16,164",+/-263,93.4%,+/-1.5,"7,744",+/-211,91.8%,+/-2.1,"8,420",+/-148,95.0%,+/-1.6
Bachelor's degree or higher,"5,045",+/-494,29.2%,+/-2.9,"2,605",+/-329,30.9%,+/-3.8,"2,440",+/-292,27.5%,+/-3.3
Population 65 years and over,"9,905",+/-103,(X),(X),"4,492",+/-72,(X),(X),"5,413",+/-77,(X),(X)
High school graduate or higher,"8,772",+/-222,88.6%,+/-2.2,"4,058",+/-130,90.3%,+/-2.6,"4,714",+/-166,87.1%,+/-2.8
Bachelor's degree or higher,"2,093",+/-278,21.1%,+/-2.8,"1,180",+/-169,26.3%,+/-3.7,913,+/-195,16.9%,+/-3.6
