Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,260",+/-33,(X),(X),"1,189",+/-30,(X),(X),"1,071",+/-15,(X),(X)
Less than high school graduate,727,+/-108,32.2%,+/-4.7,391,+/-96,32.9%,+/-7.9,336,+/-72,31.4%,+/-6.8
High school graduate (includes equivalency),795,+/-149,35.2%,+/-6.6,488,+/-107,41.0%,+/-9.2,307,+/-100,28.7%,+/-9.3
Some college or associate's degree,685,+/-141,30.3%,+/-6.2,290,+/-90,24.4%,+/-7.5,395,+/-94,36.9%,+/-8.7
Bachelor's degree or higher,53,+/-37,2.3%,+/-1.6,20,+/-22,1.7%,+/-1.8,33,+/-31,3.1%,+/-2.9
Population 25 years and over,"18,908",+/-128,(X),(X),"9,256",+/-84,(X),(X),"9,652",+/-105,(X),(X)
Less than 9th grade,"1,177",+/-191,6.2%,+/-1.0,575,+/-129,6.2%,+/-1.4,602,+/-133,6.2%,+/-1.4
"9th to 12th grade, no diploma","1,837",+/-235,9.7%,+/-1.2,977,+/-163,10.6%,+/-1.8,860,+/-163,8.9%,+/-1.7
High school graduate (includes equivalency),"8,678",+/-470,45.9%,+/-2.4,"4,458",+/-309,48.2%,+/-3.2,"4,220",+/-332,43.7%,+/-3.3
"Some college, no degree","3,350",+/-317,17.7%,+/-1.7,"1,489",+/-223,16.1%,+/-2.4,"1,861",+/-259,19.3%,+/-2.7
Associate's degree,"1,527",+/-213,8.1%,+/-1.1,578,+/-137,6.2%,+/-1.5,949,+/-145,9.8%,+/-1.5
Bachelor's degree,"1,177",+/-214,6.2%,+/-1.1,604,+/-152,6.5%,+/-1.6,573,+/-139,5.9%,+/-1.4
Graduate or professional degree,"1,162",+/-238,6.1%,+/-1.3,575,+/-166,6.2%,+/-1.8,587,+/-149,6.1%,+/-1.5
Percent high school graduate or higher,(X),(X),84.1%,+/-1.6,(X),(X),83.2%,+/-2.3,(X),(X),84.9%,+/-2.0
Percent bachelor's degree or higher,(X),(X),12.4%,+/-1.7,(X),(X),12.7%,+/-2.4,(X),(X),12.0%,+/-1.9
Population 25 to 34 years,"3,044",+/-32,(X),(X),"1,526",+/-19,(X),(X),"1,518",+/-17,(X),(X)
High school graduate or higher,"2,843",+/-87,93.4%,+/-2.7,"1,386",+/-71,90.8%,+/-4.5,"1,457",+/-42,96.0%,+/-2.6
Bachelor's degree or higher,445,+/-120,14.6%,+/-3.9,179,+/-78,11.7%,+/-5.1,266,+/-90,17.5%,+/-5.9
Population 35 to 44 years,"3,528",+/-31,(X),(X),"1,803",+/-28,(X),(X),"1,725",+/-12,(X),(X)
High school graduate or higher,"2,940",+/-133,83.3%,+/-3.8,"1,454",+/-110,80.6%,+/-6.1,"1,486",+/-84,86.1%,+/-4.9
Bachelor's degree or higher,472,+/-149,13.4%,+/-4.2,235,+/-104,13.0%,+/-5.8,237,+/-91,13.7%,+/-5.3
Population 45 to 64 years,"8,160",+/-124,(X),(X),"4,023",+/-74,(X),(X),"4,137",+/-101,(X),(X)
High school graduate or higher,"7,083",+/-220,86.8%,+/-2.4,"3,434",+/-178,85.4%,+/-3.8,"3,649",+/-146,88.2%,+/-2.7
Bachelor's degree or higher,"1,039",+/-205,12.7%,+/-2.5,501,+/-137,12.5%,+/-3.4,538,+/-123,13.0%,+/-3.0
Population 65 years and over,"4,176",+/-49,(X),(X),"1,904",+/-40,(X),(X),"2,272",+/-24,(X),(X)
High school graduate or higher,"3,028",+/-179,72.5%,+/-4.2,"1,430",+/-108,75.1%,+/-5.4,"1,598",+/-109,70.3%,+/-4.8
Bachelor's degree or higher,383,+/-112,9.2%,+/-2.7,264,+/-83,13.9%,+/-4.4,119,+/-54,5.2%,+/-2.4
