Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,232",+/-148,(X),(X),"3,194",+/-98,(X),(X),"3,038",+/-109,(X),(X)
Less than high school graduate,"1,030",+/-181,16.5%,+/-2.9,515,+/-119,16.1%,+/-3.8,515,+/-139,17.0%,+/-4.6
High school graduate (includes equivalency),"1,952",+/-275,31.3%,+/-4.2,"1,099",+/-209,34.4%,+/-6.4,853,+/-183,28.1%,+/-5.8
Some college or associate's degree,"3,051",+/-277,49.0%,+/-4.4,"1,491",+/-228,46.7%,+/-6.9,"1,560",+/-152,51.3%,+/-5.0
Bachelor's degree or higher,199,+/-87,3.2%,+/-1.4,89,+/-43,2.8%,+/-1.4,110,+/-69,3.6%,+/-2.2
Population 25 years and over,"46,204",+/-152,(X),(X),"21,793",+/-108,(X),(X),"24,411",+/-125,(X),(X)
Less than 9th grade,"1,979",+/-317,4.3%,+/-0.7,992,+/-193,4.6%,+/-0.9,987,+/-229,4.0%,+/-0.9
"9th to 12th grade, no diploma","5,076",+/-458,11.0%,+/-1.0,"2,426",+/-329,11.1%,+/-1.5,"2,650",+/-303,10.9%,+/-1.2
High school graduate (includes equivalency),"18,105",+/-721,39.2%,+/-1.5,"8,594",+/-445,39.4%,+/-2.0,"9,511",+/-494,39.0%,+/-2.0
"Some college, no degree","9,268",+/-512,20.1%,+/-1.1,"4,454",+/-345,20.4%,+/-1.6,"4,814",+/-352,19.7%,+/-1.5
Associate's degree,"3,859",+/-349,8.4%,+/-0.8,"1,732",+/-265,7.9%,+/-1.2,"2,127",+/-235,8.7%,+/-1.0
Bachelor's degree,"4,611",+/-351,10.0%,+/-0.8,"2,214",+/-260,10.2%,+/-1.2,"2,397",+/-221,9.8%,+/-0.9
Graduate or professional degree,"3,306",+/-359,7.2%,+/-0.8,"1,381",+/-202,6.3%,+/-0.9,"1,925",+/-240,7.9%,+/-1.0
Percent high school graduate or higher,(X),(X),84.7%,+/-1.2,(X),(X),84.3%,+/-1.6,(X),(X),85.1%,+/-1.5
Percent bachelor's degree or higher,(X),(X),17.1%,+/-1.1,(X),(X),16.5%,+/-1.4,(X),(X),17.7%,+/-1.4
Population 25 to 34 years,"7,596",+/-210,(X),(X),"3,798",+/-148,(X),(X),"3,798",+/-127,(X),(X)
High school graduate or higher,"6,598",+/-234,86.9%,+/-2.6,"3,277",+/-172,86.3%,+/-3.7,"3,321",+/-161,87.4%,+/-3.3
Bachelor's degree or higher,"1,285",+/-222,16.9%,+/-3.0,514,+/-122,13.5%,+/-3.2,771,+/-134,20.3%,+/-3.6
Population 35 to 44 years,"7,936",+/-195,(X),(X),"3,947",+/-127,(X),(X),"3,989",+/-117,(X),(X)
High school graduate or higher,"6,942",+/-313,87.5%,+/-3.1,"3,423",+/-189,86.7%,+/-3.8,"3,519",+/-197,88.2%,+/-4.1
Bachelor's degree or higher,"1,578",+/-246,19.9%,+/-3.0,642,+/-134,16.3%,+/-3.3,936,+/-176,23.5%,+/-4.2
Population 45 to 64 years,"18,584",+/-198,(X),(X),"9,043",+/-137,(X),(X),"9,541",+/-126,(X),(X)
High school graduate or higher,"16,190",+/-320,87.1%,+/-1.5,"7,747",+/-227,85.7%,+/-2.1,"8,443",+/-203,88.5%,+/-2.0
Bachelor's degree or higher,"3,356",+/-301,18.1%,+/-1.6,"1,499",+/-195,16.6%,+/-2.1,"1,857",+/-213,19.5%,+/-2.2
Population 65 years and over,"12,088",+/-73,(X),(X),"5,005",+/-7,(X),(X),"7,083",+/-73,(X),(X)
High school graduate or higher,"9,419",+/-262,77.9%,+/-2.2,"3,928",+/-155,78.5%,+/-3.1,"5,491",+/-210,77.5%,+/-3.0
Bachelor's degree or higher,"1,698",+/-225,14.0%,+/-1.8,940,+/-146,18.8%,+/-2.9,758,+/-132,10.7%,+/-1.9
