RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"42,465",+/-126,(X),(X),"19,953",+/-80,(X),(X),"22,512",+/-81,(X),(X)
High school graduate or higher,"36,407",+/-530,85.7%,+/-1.2,"17,035",+/-326,85.4%,+/-1.6,"19,372",+/-350,86.1%,+/-1.6
Bachelor's degree or higher,"7,739",+/-532,18.2%,+/-1.3,"3,480",+/-349,17.4%,+/-1.8,"4,259",+/-368,18.9%,+/-1.6
"White alone, not Hispanic or Latino","42,045",+/-17,(X),(X),"19,736",+/-27,(X),(X),"22,309",+/-17,(X),(X)
High school graduate or higher,"36,106",+/-518,85.9%,+/-1.2,"16,837",+/-314,85.3%,+/-1.6,"19,269",+/-350,86.4%,+/-1.6
Bachelor's degree or higher,"7,667",+/-527,18.2%,+/-1.3,"3,447",+/-344,17.5%,+/-1.7,"4,220",+/-364,18.9%,+/-1.6
Black alone,"2,093",+/-77,(X),(X),"1,060",+/-49,(X),(X),"1,033",+/-79,(X),(X)
High school graduate or higher,"1,852",+/-102,88.5%,+/-4.4,885,+/-93,83.5%,+/-7.8,967,+/-76,93.6%,+/-4.1
Bachelor's degree or higher,291,+/-119,13.9%,+/-5.7,112,+/-66,10.6%,+/-6.2,179,+/-103,17.3%,+/-10.0
American Indian or Alaska Native alone,98,+/-66,(X),(X),82,+/-63,(X),(X),16,+/-19,(X),(X)
High school graduate or higher,84,+/-67,85.7%,+/-19.8,75,+/-62,91.5%,+/-16.3,9,+/-12,56.3%,+/-53.4
Bachelor's degree or higher,5,+/-10,5.1%,+/-10.2,0,+/-27,0.0%,+/-29.7,5,+/-10,31.3%,+/-47.5
Asian alone,338,+/-76,(X),(X),141,+/-52,(X),(X),197,+/-62,(X),(X)
High school graduate or higher,292,+/-86,86.4%,+/-9.5,141,+/-52,100.0%,+/-19.0,151,+/-70,76.6%,+/-16.8
Bachelor's degree or higher,232,+/-78,68.6%,+/-15.8,125,+/-51,88.7%,+/-15.2,107,+/-71,54.3%,+/-28.0
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,341,+/-134,(X),(X),131,+/-71,(X),(X),210,+/-86,(X),(X)
High school graduate or higher,142,+/-123,41.6%,+/-34.3,60,+/-63,45.8%,+/-37.5,82,+/-69,39.0%,+/-35.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-8.4,0,+/-27,0.0%,+/-20.3,0,+/-27,0.0%,+/-13.3
Two or more races,572,+/-139,(X),(X),211,+/-87,(X),(X),361,+/-114,(X),(X)
High school graduate or higher,467,+/-141,81.6%,+/-11.6,139,+/-65,65.9%,+/-18.6,328,+/-121,90.9%,+/-10.0
Bachelor's degree or higher,70,+/-61,12.2%,+/-10.0,19,+/-22,9.0%,+/-10.1,51,+/-54,14.1%,+/-15.3
Hispanic or Latino Origin,794,+/-79,(X),(X),377,+/-80,(X),(X),417,+/-30,(X),(X)
High school graduate or higher,459,+/-142,57.8%,+/-17.1,280,+/-87,74.3%,+/-16.1,179,+/-86,42.9%,+/-21.3
Bachelor's degree or higher,77,+/-60,9.7%,+/-7.6,33,+/-39,8.8%,+/-10.3,44,+/-37,10.6%,+/-8.8
