Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,257",+/-66,(X),(X),"1,203",+/-78,(X),(X),"1,054",+/-44,(X),(X)
Less than high school graduate,338,+/-101,15.0%,+/-4.2,190,+/-91,15.8%,+/-6.9,148,+/-60,14.0%,+/-5.4
High school graduate (includes equivalency),878,+/-129,38.9%,+/-5.8,588,+/-113,48.9%,+/-9.6,290,+/-76,27.5%,+/-7.0
Some college or associate's degree,845,+/-121,37.4%,+/-5.5,330,+/-99,27.4%,+/-8.4,515,+/-80,48.9%,+/-7.9
Bachelor's degree or higher,196,+/-87,8.7%,+/-3.8,95,+/-62,7.9%,+/-5.2,101,+/-50,9.6%,+/-4.8
Population 25 years and over,"18,701",+/-97,(X),(X),"8,914",+/-85,(X),(X),"9,787",+/-64,(X),(X)
Less than 9th grade,370,+/-111,2.0%,+/-0.6,138,+/-57,1.5%,+/-0.6,232,+/-89,2.4%,+/-0.9
"9th to 12th grade, no diploma","1,249",+/-229,6.7%,+/-1.2,735,+/-159,8.2%,+/-1.8,514,+/-139,5.3%,+/-1.4
High school graduate (includes equivalency),"7,291",+/-429,39.0%,+/-2.2,"3,646",+/-301,40.9%,+/-3.3,"3,645",+/-228,37.2%,+/-2.3
"Some college, no degree","3,952",+/-328,21.1%,+/-1.8,"1,834",+/-207,20.6%,+/-2.3,"2,118",+/-231,21.6%,+/-2.4
Associate's degree,"2,364",+/-238,12.6%,+/-1.3,935,+/-185,10.5%,+/-2.1,"1,429",+/-159,14.6%,+/-1.6
Bachelor's degree,"2,368",+/-291,12.7%,+/-1.6,"1,110",+/-187,12.5%,+/-2.1,"1,258",+/-191,12.9%,+/-1.9
Graduate or professional degree,"1,107",+/-169,5.9%,+/-0.9,516,+/-110,5.8%,+/-1.2,591,+/-121,6.0%,+/-1.2
Percent high school graduate or higher,(X),(X),91.3%,+/-1.3,(X),(X),90.2%,+/-1.9,(X),(X),92.4%,+/-1.6
Percent bachelor's degree or higher,(X),(X),18.6%,+/-1.7,(X),(X),18.2%,+/-2.3,(X),(X),18.9%,+/-2.2
Population 25 to 34 years,"3,144",+/-71,(X),(X),"1,559",+/-49,(X),(X),"1,585",+/-50,(X),(X)
High school graduate or higher,"2,975",+/-127,94.6%,+/-3.5,"1,457",+/-73,93.5%,+/-3.9,"1,518",+/-73,95.8%,+/-3.6
Bachelor's degree or higher,755,+/-163,24.0%,+/-5.3,354,+/-104,22.7%,+/-6.7,401,+/-107,25.3%,+/-6.7
Population 35 to 44 years,"3,118",+/-66,(X),(X),"1,553",+/-58,(X),(X),"1,565",+/-46,(X),(X)
High school graduate or higher,"2,936",+/-82,94.2%,+/-2.5,"1,457",+/-45,93.8%,+/-3.8,"1,479",+/-72,94.5%,+/-3.5
Bachelor's degree or higher,603,+/-126,19.3%,+/-4.0,240,+/-81,15.5%,+/-5.2,363,+/-87,23.2%,+/-5.5
Population 45 to 64 years,"7,614",+/-57,(X),(X),"3,752",+/-37,(X),(X),"3,862",+/-42,(X),(X)
High school graduate or higher,"7,084",+/-158,93.0%,+/-1.9,"3,394",+/-120,90.5%,+/-3.1,"3,690",+/-85,95.5%,+/-1.8
Bachelor's degree or higher,"1,429",+/-168,18.8%,+/-2.2,639,+/-115,17.0%,+/-3.1,790,+/-129,20.5%,+/-3.3
Population 65 years and over,"4,825",+/-65,(X),(X),"2,050",+/-11,(X),(X),"2,775",+/-64,(X),(X)
High school graduate or higher,"4,087",+/-165,84.7%,+/-3.2,"1,733",+/-89,84.5%,+/-4.3,"2,354",+/-128,84.8%,+/-4.1
Bachelor's degree or higher,688,+/-140,14.3%,+/-2.9,393,+/-95,19.2%,+/-4.6,295,+/-74,10.6%,+/-2.6
