RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"18,304",+/-74,(X),(X),"8,807",+/-55,(X),(X),"9,497",+/-51,(X),(X)
High school graduate or higher,"16,748",+/-231,91.5%,+/-1.3,"7,946",+/-159,90.2%,+/-1.9,"8,802",+/-157,92.7%,+/-1.6
Bachelor's degree or higher,"3,405",+/-315,18.6%,+/-1.7,"1,612",+/-206,18.3%,+/-2.4,"1,793",+/-210,18.9%,+/-2.2
"White alone, not Hispanic or Latino","18,135",+/-21,(X),(X),"8,730",+/-21,(X),(X),"9,405",+/-21,(X),(X)
High school graduate or higher,"16,614",+/-224,91.6%,+/-1.2,"7,904",+/-155,90.5%,+/-1.8,"8,710",+/-148,92.6%,+/-1.6
Bachelor's degree or higher,"3,395",+/-313,18.7%,+/-1.7,"1,612",+/-206,18.5%,+/-2.4,"1,783",+/-208,19.0%,+/-2.2
Black alone,89,+/-48,(X),(X),35,+/-33,(X),(X),54,+/-29,(X),(X)
High school graduate or higher,89,+/-48,100.0%,+/-27.9,35,+/-33,100.0%,+/-48.2,54,+/-29,100.0%,+/-38.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-27.9,0,+/-21,0.0%,+/-48.2,0,+/-21,0.0%,+/-38.8
American Indian or Alaska Native alone,36,+/-51,(X),(X),5,+/-9,(X),(X),31,+/-50,(X),(X)
High school graduate or higher,34,+/-51,94.4%,+/-14.8,5,+/-9,100.0%,+/-100.0,29,+/-50,93.5%,+/-23.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-47.5,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-51.2
Asian alone,78,+/-32,(X),(X),20,+/-19,(X),(X),58,+/-31,(X),(X)
High school graduate or higher,71,+/-31,91.0%,+/-12.7,14,+/-17,70.0%,+/-45.9,57,+/-31,98.3%,+/-4.5
Bachelor's degree or higher,45,+/-32,57.7%,+/-31.2,14,+/-17,70.0%,+/-45.9,31,+/-30,53.4%,+/-36.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,124,+/-69,(X),(X),25,+/-33,(X),(X),99,+/-54,(X),(X)
High school graduate or higher,72,+/-61,58.1%,+/-29.7,19,+/-31,76.0%,+/-42.1,53,+/-47,53.5%,+/-33.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-21.3,0,+/-21,0.0%,+/-57.0,0,+/-21,0.0%,+/-25.7
Two or more races,70,+/-50,(X),(X),22,+/-20,(X),(X),48,+/-40,(X),(X)
High school graduate or higher,68,+/-51,97.1%,+/-6.9,22,+/-20,100.0%,+/-60.7,46,+/-41,95.8%,+/-10.4
Bachelor's degree or higher,25,+/-26,35.7%,+/-25.1,0,+/-21,0.0%,+/-60.7,25,+/-26,52.1%,+/-40.4
Hispanic or Latino Origin,304,+/-62,(X),(X),102,+/-62,(X),(X),202,+/-21,(X),(X)
High school graduate or higher,217,+/-59,71.4%,+/-19.4,61,+/-43,59.8%,+/-37.1,156,+/-41,77.2%,+/-18.6
Bachelor's degree or higher,21,+/-22,6.9%,+/-7.2,0,+/-21,0.0%,+/-25.1,21,+/-22,10.4%,+/-10.8
