Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,871",+/-82,(X),(X),986,+/-50,(X),(X),885,+/-68,(X),(X)
Less than high school graduate,481,+/-111,25.7%,+/-6.1,247,+/-88,25.1%,+/-9.2,234,+/-74,26.4%,+/-8.3
High school graduate (includes equivalency),655,+/-126,35.0%,+/-6.6,390,+/-97,39.6%,+/-9.3,265,+/-94,29.9%,+/-11.0
Some college or associate's degree,653,+/-143,34.9%,+/-7.1,303,+/-93,30.7%,+/-9.1,350,+/-103,39.5%,+/-10.5
Bachelor's degree or higher,82,+/-43,4.4%,+/-2.3,46,+/-40,4.7%,+/-4.0,36,+/-25,4.1%,+/-2.8
Population 25 years and over,"16,729",+/-77,(X),(X),"8,223",+/-82,(X),(X),"8,506",+/-77,(X),(X)
Less than 9th grade,663,+/-152,4.0%,+/-0.9,379,+/-108,4.6%,+/-1.3,284,+/-91,3.3%,+/-1.1
"9th to 12th grade, no diploma","1,163",+/-174,7.0%,+/-1.0,641,+/-136,7.8%,+/-1.6,522,+/-132,6.1%,+/-1.5
High school graduate (includes equivalency),"6,892",+/-393,41.2%,+/-2.3,"3,400",+/-272,41.3%,+/-3.3,"3,492",+/-248,41.1%,+/-2.9
"Some college, no degree","3,560",+/-283,21.3%,+/-1.7,"1,761",+/-207,21.4%,+/-2.5,"1,799",+/-215,21.1%,+/-2.5
Associate's degree,"1,667",+/-226,10.0%,+/-1.3,763,+/-156,9.3%,+/-1.9,904,+/-169,10.6%,+/-2.0
Bachelor's degree,"1,781",+/-248,10.6%,+/-1.5,885,+/-157,10.8%,+/-1.9,896,+/-157,10.5%,+/-1.8
Graduate or professional degree,"1,003",+/-175,6.0%,+/-1.1,394,+/-100,4.8%,+/-1.2,609,+/-141,7.2%,+/-1.7
Percent high school graduate or higher,(X),(X),89.1%,+/-1.5,(X),(X),87.6%,+/-1.9,(X),(X),90.5%,+/-2.1
Percent bachelor's degree or higher,(X),(X),16.6%,+/-2.0,(X),(X),15.6%,+/-2.2,(X),(X),17.7%,+/-2.6
Population 25 to 34 years,"2,589",+/-90,(X),(X),"1,258",+/-34,(X),(X),"1,331",+/-76,(X),(X)
High school graduate or higher,"2,214",+/-110,85.5%,+/-3.9,"1,077",+/-66,85.6%,+/-5.0,"1,137",+/-100,85.4%,+/-6.1
Bachelor's degree or higher,407,+/-119,15.7%,+/-4.7,158,+/-60,12.6%,+/-4.8,249,+/-79,18.7%,+/-6.1
Population 35 to 44 years,"2,731",+/-67,(X),(X),"1,425",+/-42,(X),(X),"1,306",+/-47,(X),(X)
High school graduate or higher,"2,507",+/-81,91.8%,+/-2.6,"1,282",+/-66,90.0%,+/-4.5,"1,225",+/-39,93.8%,+/-2.7
Bachelor's degree or higher,713,+/-168,26.1%,+/-6.0,308,+/-91,21.6%,+/-6.3,405,+/-101,31.0%,+/-7.7
Population 45 to 64 years,"6,829",+/-90,(X),(X),"3,451",+/-92,(X),(X),"3,378",+/-44,(X),(X)
High school graduate or higher,"6,160",+/-136,90.2%,+/-2.1,"3,057",+/-95,88.6%,+/-2.9,"3,103",+/-104,91.9%,+/-2.9
Bachelor's degree or higher,"1,086",+/-156,15.9%,+/-2.3,507,+/-117,14.7%,+/-3.4,579,+/-103,17.1%,+/-3.0
Population 65 years and over,"4,580",+/-12,(X),(X),"2,089",+/-7,(X),(X),"2,491",+/-9,(X),(X)
High school graduate or higher,"4,022",+/-101,87.8%,+/-2.2,"1,787",+/-81,85.5%,+/-3.9,"2,235",+/-65,89.7%,+/-2.6
Bachelor's degree or higher,578,+/-127,12.6%,+/-2.8,306,+/-85,14.6%,+/-4.1,272,+/-80,10.9%,+/-3.2
