RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,769",+/-96,(X),(X),"7,668",+/-82,(X),(X),"8,101",+/-35,(X),(X)
High school graduate or higher,"14,453",+/-196,91.7%,+/-1.2,"6,970",+/-116,90.9%,+/-1.5,"7,483",+/-149,92.4%,+/-1.9
Bachelor's degree or higher,"2,754",+/-323,17.5%,+/-2.0,"1,276",+/-180,16.6%,+/-2.4,"1,478",+/-215,18.2%,+/-2.7
"White alone, not Hispanic or Latino","15,539",+/-4,(X),(X),"7,497",+/-21,(X),(X),"8,042",+/-4,(X),(X)
High school graduate or higher,"14,338",+/-190,92.3%,+/-1.2,"6,881",+/-114,91.8%,+/-1.5,"7,457",+/-146,92.7%,+/-1.8
Bachelor's degree or higher,"2,744",+/-322,17.7%,+/-2.1,"1,268",+/-179,16.9%,+/-2.4,"1,476",+/-215,18.4%,+/-2.7
Black alone,40,+/-48,(X),(X),40,+/-48,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,40,+/-48,100.0%,+/-45.1,40,+/-48,100.0%,+/-45.1,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-45.1,0,+/-21,0.0%,+/-45.1,0,+/-21,-,**
American Indian or Alaska Native alone,44,+/-43,(X),(X),0,+/-21,(X),(X),44,+/-43,(X),(X)
High school graduate or higher,41,+/-44,93.2%,+/-14.2,0,+/-21,-,**,41,+/-44,93.2%,+/-14.2
Bachelor's degree or higher,0,+/-21,0.0%,+/-43.0,0,+/-21,-,**,0,+/-21,0.0%,+/-43.0
Asian alone,38,+/-36,(X),(X),4,+/-6,(X),(X),34,+/-32,(X),(X)
High school graduate or higher,31,+/-30,81.6%,+/-16.7,4,+/-6,100.0%,+/-100.0,27,+/-28,79.4%,+/-20.7
Bachelor's degree or higher,5,+/-8,13.2%,+/-18.6,0,+/-21,0.0%,+/-100.0,5,+/-8,14.7%,+/-20.2
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,671,+/-134,(X),(X),374,+/-95,(X),(X),297,+/-57,(X),(X)
High school graduate or higher,254,+/-120,37.9%,+/-16.0,135,+/-78,36.1%,+/-18.7,119,+/-80,40.1%,+/-25.0
Bachelor's degree or higher,19,+/-21,2.8%,+/-3.3,0,+/-21,0.0%,+/-7.7,19,+/-21,6.4%,+/-7.1
Two or more races,167,+/-58,(X),(X),137,+/-66,(X),(X),30,+/-28,(X),(X)
High school graduate or higher,84,+/-38,50.3%,+/-23.5,54,+/-29,39.4%,+/-21.0,30,+/-28,100.0%,+/-52.0
Bachelor's degree or higher,6,+/-8,3.6%,+/-5.1,3,+/-5,2.2%,+/-4.0,3,+/-6,10.0%,+/-20.8
Hispanic or Latino Origin,924,+/-61,(X),(X),563,+/-37,(X),(X),361,+/-42,(X),(X)
High school graduate or higher,378,+/-112,40.9%,+/-11.9,231,+/-81,41.0%,+/-14.2,147,+/-75,40.7%,+/-20.4
Bachelor's degree or higher,34,+/-26,3.7%,+/-2.8,11,+/-12,2.0%,+/-2.2,23,+/-22,6.4%,+/-6.0
