Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,628",+/-57,(X),(X),"1,374",+/-51,(X),(X),"1,254",+/-38,(X),(X)
Less than high school graduate,597,+/-176,22.7%,+/-6.6,335,+/-131,24.4%,+/-9.4,262,+/-93,20.9%,+/-7.4
High school graduate (includes equivalency),899,+/-174,34.2%,+/-6.6,493,+/-150,35.9%,+/-10.9,406,+/-100,32.4%,+/-8.1
Some college or associate's degree,919,+/-163,35.0%,+/-6.2,499,+/-133,36.3%,+/-9.7,420,+/-96,33.5%,+/-7.6
Bachelor's degree or higher,213,+/-87,8.1%,+/-3.3,47,+/-40,3.4%,+/-2.9,166,+/-79,13.2%,+/-6.2
Population 25 years and over,"22,932",+/-64,(X),(X),"11,268",+/-86,(X),(X),"11,664",+/-89,(X),(X)
Less than 9th grade,603,+/-211,2.6%,+/-0.9,295,+/-121,2.6%,+/-1.1,308,+/-130,2.6%,+/-1.1
"9th to 12th grade, no diploma","1,657",+/-268,7.2%,+/-1.2,933,+/-199,8.3%,+/-1.8,724,+/-164,6.2%,+/-1.4
High school graduate (includes equivalency),"9,488",+/-535,41.4%,+/-2.3,"4,819",+/-370,42.8%,+/-3.2,"4,669",+/-351,40.0%,+/-3.0
"Some college, no degree","4,946",+/-471,21.6%,+/-2.1,"2,359",+/-260,20.9%,+/-2.3,"2,587",+/-317,22.2%,+/-2.7
Associate's degree,"2,044",+/-237,8.9%,+/-1.0,864,+/-152,7.7%,+/-1.4,"1,180",+/-190,10.1%,+/-1.6
Bachelor's degree,"2,628",+/-336,11.5%,+/-1.5,"1,152",+/-235,10.2%,+/-2.1,"1,476",+/-196,12.7%,+/-1.7
Graduate or professional degree,"1,566",+/-277,6.8%,+/-1.2,846,+/-185,7.5%,+/-1.6,720,+/-157,6.2%,+/-1.3
Percent high school graduate or higher,(X),(X),90.1%,+/-1.5,(X),(X),89.1%,+/-2.0,(X),(X),91.2%,+/-1.9
Percent bachelor's degree or higher,(X),(X),18.3%,+/-1.9,(X),(X),17.7%,+/-2.6,(X),(X),18.8%,+/-2.1
Population 25 to 34 years,"3,722",+/-49,(X),(X),"1,960",+/-47,(X),(X),"1,762",+/-21,(X),(X)
High school graduate or higher,"3,385",+/-129,90.9%,+/-3.3,"1,759",+/-112,89.7%,+/-5.2,"1,626",+/-70,92.3%,+/-4.1
Bachelor's degree or higher,652,+/-149,17.5%,+/-4.0,248,+/-83,12.7%,+/-4.1,404,+/-107,22.9%,+/-6.1
Population 35 to 44 years,"4,067",+/-63,(X),(X),"2,097",+/-50,(X),(X),"1,970",+/-35,(X),(X)
High school graduate or higher,"3,862",+/-109,95.0%,+/-2.3,"2,001",+/-74,95.4%,+/-3.1,"1,861",+/-80,94.5%,+/-3.8
Bachelor's degree or higher,"1,109",+/-170,27.3%,+/-4.1,466,+/-127,22.2%,+/-6.2,643,+/-110,32.6%,+/-5.5
Population 45 to 64 years,"9,728",+/-97,(X),(X),"4,822",+/-60,(X),(X),"4,906",+/-70,(X),(X)
High school graduate or higher,"8,754",+/-216,90.0%,+/-2.2,"4,227",+/-129,87.7%,+/-2.7,"4,527",+/-170,92.3%,+/-2.9
Bachelor's degree or higher,"1,664",+/-262,17.1%,+/-2.7,849,+/-178,17.6%,+/-3.7,815,+/-160,16.6%,+/-3.2
Population 65 years and over,"5,415",+/-92,(X),(X),"2,389",+/-89,(X),(X),"3,026",+/-61,(X),(X)
High school graduate or higher,"4,671",+/-160,86.3%,+/-3.1,"2,053",+/-89,85.9%,+/-4.9,"2,618",+/-118,86.5%,+/-3.4
Bachelor's degree or higher,769,+/-154,14.2%,+/-2.8,435,+/-105,18.2%,+/-4.4,334,+/-89,11.0%,+/-2.9
