RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"22,373",+/-93,(X),(X),"10,979",+/-68,(X),(X),"11,394",+/-45,(X),(X)
High school graduate or higher,"20,480",+/-317,91.5%,+/-1.4,"9,954",+/-202,90.7%,+/-1.9,"10,526",+/-199,92.4%,+/-1.7
Bachelor's degree or higher,"4,354",+/-397,19.5%,+/-1.8,"2,033",+/-241,18.5%,+/-2.2,"2,321",+/-266,20.4%,+/-2.3
"White alone, not Hispanic or Latino","22,290",+/-69,(X),(X),"10,916",+/-30,(X),(X),"11,374",+/-40,(X),(X)
High school graduate or higher,"20,435",+/-319,91.7%,+/-1.4,"9,929",+/-203,91.0%,+/-1.9,"10,506",+/-196,92.4%,+/-1.7
Bachelor's degree or higher,"4,354",+/-397,19.5%,+/-1.8,"2,033",+/-241,18.6%,+/-2.2,"2,321",+/-266,20.4%,+/-2.3
Black alone,117,+/-48,(X),(X),86,+/-50,(X),(X),31,+/-26,(X),(X)
High school graduate or higher,85,+/-48,72.6%,+/-28.1,63,+/-45,73.3%,+/-34.8,22,+/-24,71.0%,+/-39.5
Bachelor's degree or higher,4,+/-7,3.4%,+/-5.5,4,+/-7,4.7%,+/-8.3,0,+/-24,0.0%,+/-51.2
American Indian or Alaska Native alone,82,+/-60,(X),(X),16,+/-15,(X),(X),66,+/-60,(X),(X)
High school graduate or higher,82,+/-60,100.0%,+/-29.7,16,+/-15,100.0%,+/-71.2,66,+/-60,100.0%,+/-34.6
Bachelor's degree or higher,14,+/-23,17.1%,+/-24.9,0,+/-24,0.0%,+/-71.2,14,+/-23,21.2%,+/-31.3
Asian alone,139,+/-59,(X),(X),19,+/-27,(X),(X),120,+/-55,(X),(X)
High school graduate or higher,96,+/-36,69.1%,+/-36.6,19,+/-27,100.0%,+/-65.4,77,+/-26,64.2%,+/-40.4
Bachelor's degree or higher,56,+/-46,40.3%,+/-32.4,19,+/-27,100.0%,+/-65.4,37,+/-32,30.8%,+/-31.2
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,84,+/-65,(X),(X),53,+/-52,(X),(X),31,+/-38,(X),(X)
High school graduate or higher,58,+/-51,69.0%,+/-41.1,27,+/-34,50.9%,+/-50.9,31,+/-38,100.0%,+/-51.2
Bachelor's degree or higher,8,+/-14,9.5%,+/-18.7,0,+/-24,0.0%,+/-39.1,8,+/-14,25.8%,+/-50.7
Two or more races,285,+/-113,(X),(X),178,+/-89,(X),(X),107,+/-52,(X),(X)
High school graduate or higher,219,+/-90,76.8%,+/-15.7,127,+/-62,71.3%,+/-14.8,92,+/-54,86.0%,+/-18.4
Bachelor's degree or higher,56,+/-31,19.6%,+/-13.3,43,+/-27,24.2%,+/-16.0,13,+/-22,12.1%,+/-18.8
Hispanic or Latino Origin,327,+/-32,(X),(X),190,+/-62,(X),(X),137,+/-63,(X),(X)
High school graduate or higher,168,+/-67,51.4%,+/-21.0,81,+/-40,42.6%,+/-23.7,87,+/-55,63.5%,+/-38.9
Bachelor's degree or higher,0,+/-24,0.0%,+/-8.8,0,+/-24,0.0%,+/-14.6,0,+/-24,0.0%,+/-19.5
