County,Percent
Adams,14.9
Allen,27.5
Bartholomew,31.2
Benton,16.8
Blackford,11.1
Boone,47.2
Brown,25.5
Carroll,16.2
Cass,13.4
Clark,20.0
Clay,16.6
Clinton,15.7
Crawford,10.4
Daviess,14.2
Dearborn,21.7
Decatur,19.7
DeKalb,17.8
Delaware,23.9
Dubois,21.4
Elkhart,18.7
Fayette,11.1
Floyd,28.4
Fountain,14.4
Franklin,19.7
Fulton,12.8
Gibson,16.8
Grant,17.1
Greene,14.5
Hamilton,57.5
Hancock,30.1
Harrison,16.6
Hendricks,35.3
Henry,16.5
Howard,20.4
Huntington,18.1
Jackson,15.9
Jasper,14.9
Jay,10.5
Jefferson,17.4
Jennings,10.7
Johnson,30.9
Knox,16.1
Kosciusko,22.3
LaGrange,9.9
Lake,21.4
LaPorte,17.8
Lawrence,16.1
Madison,17.5
Marion,29.7
Marshall,19.8
Martin,11.0
Miami,12.6
Monroe,45.8
Montgomery,18.1
Morgan,16.1
Newton,11.0
Noble,14.0
Ohio,14.2
Orange,11.8
Owen,12.7
Parke,12.6
Perry,14.3
Pike,13.1
Porter,27.5
Posey,20.7
Pulaski,11.8
Putnam,15.4
Randolph,13.7
Ripley,11.9
Rush,14.8
Scott,12.9
Shelby,18.0
Spencer,15.9
St. Joseph,28.4
Starke,11.4
Steuben,20.3
Sullivan,12.5
Switzerland,8.7
Tippecanoe,36.9
Tipton,21.3
Union,17.6
Vanderburgh,26.2
Vermillion,13.0
Vigo,23.5
Wabash,18.7
Warren,19.4
Warrick,29.2
Washington,12.1
Wayne,18.2
Wells,18.6
White,16.6
Whitley,19.5
